"Input number 6171 with intial rewrite term cbaaaaaabbabbd
Generated final number 3 with final rewrite term cbd
Number of steps: 976  Number of array doubles: 1"
Term	Number
cbbafabbbaabbbd	22247
cbbebabbbaabbbd	22247
cbfbbabbbaabbbd	22247
cgabbabbbaabbbd	22247
cababbabbbaabbbd	22247
cababbabbbaabgbd	33371
cababbabbbaagbbd	33371
cababbabbbafabbd	33371
cababbabbbebabbd	33371
cababbabbfbbabbd	33371
cababbabgabbabbd	33371
cababbagbabbabbd	33371
cababbfababbabbd	33371
cababgaababbabbd	33371
cabagbaababbabbd	33371
cabfabaababbabbd	33371
cagaabaababbabbd	33371
cfaaabaababbabbd	33371
caaaaabaababbabbd	33371
caaaaabaababbagbd	50057
caaaaabaababbfabd	50057
caaaaabaababgaabd	50057
caaaaabaabagbaabd	50057
caaaaabaabfabaabd	50057
caaaaabaagaabaabd	50057
caaaaabafaaabaabd	50057
caaaaabebaaabaabd	50057
caaaaafbbaaabaabd	50057
caaaaebbbaaabaabd	50057
caaaeabbbaaabaabd	50057
caaeaabbbaaabaabd	50057
caeaaabbbaaabaabd	50057
ceaaaabbbaaabaabd	50057
cbaaaabbbaaabaabd	50057
cbaaaabbbaaabebd	37543
cbaaaabbbaaafbbd	37543
cbaaaabbbaaebbbd	37543
cbaaaabbbaeabbbd	37543
cbaaaabbbeaabbbd	37543
cbaaaabbfbaabbbd	37543
cbaaaabgabaabbbd	37543
cbaaaagbabaabbbd	37543
cbaaafababaabbbd	37543
cbaaebababaabbbd	37543
cbaeabababaabbbd	37543
cbeaabababaabbbd	37543
cfbaabababaabbbd	37543
caabaabababaabbbd	37543
caabaabababaabgbd	56315
caabaabababaagbbd	56315
caabaabababafabbd	56315
caabaabababebabbd	56315
caabaababafbbabbd	56315
caabaababebbbabbd	56315
caabaabafbbbbabbd	56315
caabaabebbbbbabbd	56315
caabaafbbbbbbabbd	56315
caabaebbbbbbbabbd	56315
caabeabbbbbbbabbd	56315
caafbabbbbbbbabbd	56315
caebbabbbbbbbabbd	56315
ceabbabbbbbbbabbd	56315
cbabbabbbbbbbabbd	56315
cbabbabbbbbbbagbd	84473
cbabbabbbbbbbfabd	84473
cbabbabbbbbbgaabd	84473
cbabbabbbbbgbaabd	84473
cbabbabbbbgbbaabd	84473
cbabbabbbgbbbaabd	84473
cbabbabbgbbbbaabd	84473
cbabbabgbbbbbaabd	84473
cbabbagbbbbbbaabd	84473
cbabbfabbbbbbaabd	84473
