"Input number 3711 with intial rewrite term cbbaabbbbbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 845  Number of array doubles: 1"
Term	Number
cabfbaaabaabaaabd	67729
cagabaaabaabaaabd	67729
cfaabaaabaabaaabd	67729
caaaabaaabaabaaabd	67729
caaaabaaabaabaebd	50797
caaaabaaabaabeabd	50797
caaaabaaabaafbabd	50797
caaaabaaabaebbabd	50797
caaaabaaabeabbabd	50797
caaaabaaafbabbabd	50797
caaaabaaebbabbabd	50797
caaaabaeabbabbabd	50797
caaaabeaabbabbabd	50797
caaaafbaabbabbabd	50797
caaaebbaabbabbabd	50797
caaeabbaabbabbabd	50797
caeaabbaabbabbabd	50797
ceaaabbaabbabbabd	50797
cbaaabbaabbabbabd	50797
cbaaabbaabbabbd	12699
cbaaabbaabbagbd	19049
cbaaabbaabbfabd	19049
cbaaabbaabgaabd	19049
cbaaabbaagbaabd	19049
cbaaabbafabaabd	19049
cbaaabbebabaabd	19049
cbaaabfbbabaabd	19049
cbaaagabbabaabd	19049
cbaafaabbabaabd	19049
cbaebaabbabaabd	19049
cbeabaabbabaabd	19049
cfbabaabbabaabd	19049
caababaabbabaabd	19049
caababaabbabebd	14287
caababaabbafbbd	14287
caababaabbebbbd	14287
caababaabfbbbbd	14287
caababaagabbbbd	14287
caababafaabbbbd	14287
caababebaabbbbd	14287
caabafbbaabbbbd	14287
caabebbbaabbbbd	14287
caafbbbbaabbbbd	14287
caebbbbbaabbbbd	14287
ceabbbbbaabbbbd	14287
cbabbbbbaabbbbd	14287
cbabbbbbaabbgbd	21431
cbabbbbbaabgbbd	21431
cbabbbbbaagbbbd	21431
cbabbbbbafabbbd	21431
cbabbbbbebabbbd	21431
cbabbbbfbbabbbd	21431
cbabbbgabbabbbd	21431
cbabbgbabbabbbd	21431
cbabgbbabbabbbd	21431
cbagbbbabbabbbd	21431
cbfabbbabbabbbd	21431
cgaabbbabbabbbd	21431
cabaabbbabbabbbd	21431
cabaabbbabbabgbd	32147
cabaabbbabbagbbd	32147
cabaabbbabbfabbd	32147
cabaabbbabgaabbd	32147
cabaabbbagbaabbd	32147
cabaabbbfabaabbd	32147
cabaabbgaabaabbd	32147
cabaabgbaabaabbd	32147
cabaagbbaabaabbd	32147
cabafabbaabaabbd	32147
cabebabbaabaabbd	32147
cafbbabbaabaabbd	32147
cebbbabbaabaabbd	32147
cbbbbabbaabaabbd	32147
