"Input number 1161 with intial rewrite term caabaaabaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 575  Number of array doubles: 1"
Term	Number
cbabaafabbaabd	10073
cbabaebabbaabd	10073
cbabeababbaabd	10073
cbafbababbaabd	10073
cbebbababbaabd	10073
cfbbbababbaabd	10073
caabbbababbaabd	10073
caabbbababbebd	7555
caabbbababfbbd	7555
caabbbabagabbd	7555
caabbbabfaabbd	7555
caabbbagaaabbd	7555
caabbbfaaaabbd	7555
caabbgaaaaabbd	7555
caabgbaaaaabbd	7555
caagbbaaaaabbd	7555
cafabbaaaaabbd	7555
cebabbaaaaabbd	7555
cbbabbaaaaabbd	7555
cbbabbaaaaagbd	11333
cbbabbaaaafabd	11333
cbbabbaaaebabd	11333
cbbabbaaeababd	11333
cbbabbaeaababd	11333
cbbabbeaaababd	11333
cbbabfbaaababd	11333
cbbagabaaababd	11333
cbbfaabaaababd	11333
cbgaaabaaababd	11333
cgbaaabaaababd	11333
cabbaaabaaababd	11333
cabbaaabaaabd	2833
cabbaaabaebd	2125
cabbaaabeabd	2125
cabbaaafbabd	2125
cabbaaebbabd	2125
cabbaeabbabd	2125
cabbeaabbabd	2125
cabfbaabbabd	2125
cagabaabbabd	2125
cfaabaabbabd	2125
caaaabaabbabd	2125
caaaabaabbd	531
caaaabaagbd	797
caaaabafabd	797
caaaabebabd	797
caaaafbbabd	797
caaaebbbabd	797
caaeabbbabd	797
caeaabbbabd	797
ceaaabbbabd	797
cbaaabbbabd	797
cbaaabbbd	199
cbaaabgbd	299
cbaaagbbd	299
cbaafabbd	299
cbaebabbd	299
cbeababbd	299
cfbababbd	299
caabababbd	299
caababagbd	449
caababfabd	449
caabagaabd	449
caabfaaabd	449
caagaaaabd	449
cafaaaaabd	449
cebaaaaabd	449
cbbaaaaabd	449
cbbaaaebd	337
cbbaaeabd	337
cbbaeaabd	337
cbbeaaabd	337
cbfbaaabd	337
cgabaaabd	337
cababaaabd	337
cababaebd	253
cababeabd	253
cabafbabd	253
cabebbabd	253
cafbbbabd	253
cebbbbabd	253
cbbbbbabd	253
cbbbbbd	63
cbbbgbd	95
cbbgbbd	95
cbgbbbd	95
cgbbbbd	95
cabbbbbd	95
cabbbgbd	143
cabbgbbd	143
cabgbbbd	143
cagbbbbd	143
cfabbbbd	143
caaabbbbd	143
caaabbgbd	215
caaabgbbd	215
caaagbbbd	215
caafabbbd	215
caebabbbd	215
ceababbbd	215
cbababbbd	215
cbababgbd	323
cbabagbbd	323
cbabfabbd	323
cbagaabbd	323
