"Input number 26623 with intial rewrite term cbaabbbbbbbbbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1490  Number of array doubles: 1"
Term	Number
cbbbfbbabbabaababaabd	1535273
cbbgabbabbabaababaabd	1535273
cbgbabbabbabaababaabd	1535273
cgbbabbabbabaababaabd	1535273
cabbbabbabbabaababaabd	1535273
cabbbabbabbabaababebd	1151455
cabbbabbabbabaabafbbd	1151455
cabbbabbabbabaabebbbd	1151455
cabbbabbabbabaafbbbbd	1151455
cabbbabbabbabaebbbbbd	1151455
cabbbabbabbabeabbbbbd	1151455
cabbbabbabbafbabbbbbd	1151455
cabbbabbabbebbabbbbbd	1151455
cabbbabbabfbbbabbbbbd	1151455
cabbbabbagabbbabbbbbd	1151455
cabbbabbfaabbbabbbbbd	1151455
cabbbabgaaabbbabbbbbd	1151455
cabbbagbaaabbbabbbbbd	1151455
cabbbfabaaabbbabbbbbd	1151455
cabbgaabaaabbbabbbbbd	1151455
cabgbaabaaabbbabbbbbd	1151455
cagbbaabaaabbbabbbbbd	1151455
cfabbaabaaabbbabbbbbd	1151455
caaabbaabaaabbbabbbbbd	1151455
caaabbaabaaabbbabbbgbd	1727183
caaabbaabaaabbbabbgbbd	1727183
caaabbaabaaabbbabgbbbd	1727183
caaabbaabaaabbbagbbbbd	1727183
caaabbaabaaabbbfabbbbd	1727183
caaabbaabaaabbgaabbbbd	1727183
caaabbaabaaabgbaabbbbd	1727183
caaabbaabaaagbbaabbbbd	1727183
caaabbaabaafabbaabbbbd	1727183
caaabbaabaebabbaabbbbd	1727183
caaabbaabeababbaabbbbd	1727183
caaabbaafbababbaabbbbd	1727183
caaabbaebbababbaabbbbd	1727183
caaabbeabbababbaabbbbd	1727183
caaabfbabbababbaabbbbd	1727183
caaagababbababbaabbbbd	1727183
caafaababbababbaabbbbd	1727183
caebaababbababbaabbbbd	1727183
ceabaababbababbaabbbbd	1727183
cbabaababbababbaabbbbd	1727183
cbabaababbababbaabbgbd	2590775
cbabaababbababbaabgbbd	2590775
cbabaababbababbaagbbbd	2590775
cbabaababbababbafabbbd	2590775
cbabaababbababbebabbbd	2590775
cbabaababbababfbbabbbd	2590775
cbabaababbabagabbabbbd	2590775
cbabaababbabfaabbabbbd	2590775
cbabaababbagaaabbabbbd	2590775
cbabaababbfaaaabbabbbd	2590775
cbabaababgaaaaabbabbbd	2590775
cbabaabagbaaaaabbabbbd	2590775
cbabaabfabaaaaabbabbbd	2590775
cbabaagaabaaaaabbabbbd	2590775
cbabafaaabaaaaabbabbbd	2590775
cbabebaaabaaaaabbabbbd	2590775
cbafbbaaabaaaaabbabbbd	2590775
cbebbbaaabaaaaabbabbbd	2590775
cfbbbbaaabaaaaabbabbbd	2590775
caabbbbaaabaaaaabbabbbd	2590775
caabbbbaaabaaaaabbabgbd	3886163
caabbbbaaabaaaaabbagbbd	3886163
caabbbbaaabaaaaabbfabbd	3886163
caabbbbaaabaaaaabgaabbd	3886163
caabbbbaaabaaaaagbaabbd	3886163
caabbbbaaabaaaafabaabbd	3886163
caabbbbaaabaaaebabaabbd	3886163
caabbbbaaabaaeababaabbd	3886163
caabbbbaaabaeaababaabbd	3886163
caabbbbaaabeaaababaabbd	3886163
caabbbbaaafbaaababaabbd	3886163
caabbbbaaebbaaababaabbd	3886163
caabbbbaeabbaaababaabbd	3886163
caabbbbeaabbaaababaabbd	3886163
caabbbfbaabbaaababaabbd	3886163
caabbgabaabbaaababaabbd	3886163
caabgbabaabbaaababaabbd	3886163
caagbbabaabbaaababaabbd	3886163
cafabbabaabbaaababaabbd	3886163
cebabbabaabbaaababaabbd	3886163
cbbabbabaabbaaababaabbd	3886163
cbbabbabaabbaaababaagbd	5829245
cbbabbabaabbaaababafabd	5829245
cbbabbabaabbaaababebabd	5829245
cbbabbabaabbaaabafbbabd	5829245
cbbabbabaabbaaabebbbabd	5829245
cbbabbabaabbaaafbbbbabd	5829245
cbbabbabaabbaaebbbbbabd	5829245
cbbabbabaabbaeabbbbbabd	5829245
cbbabbabaabbeaabbbbbabd	5829245
cbbabbabaabfbaabbbbbabd	5829245
cbbabbabaagabaabbbbbabd	5829245
cbbabbabafaabaabbbbbabd	5829245
cbbabbabebaabaabbbbbabd	5829245
cbbabbafbbaabaabbbbbabd	5829245
cbbabbebbbaabaabbbbbabd	5829245
cbbabfbbbbaabaabbbbbabd	5829245
cbbagabbbbaabaabbbbbabd	5829245
cbbfaabbbbaabaabbbbbabd	5829245
cbgaaabbbbaabaabbbbbabd	5829245
cgbaaabbbbaabaabbbbbabd	5829245
cabbaaabbbbaabaabbbbbabd	5829245
cabbaaabbbbaabaabbbbbd	1457311
cabbaaabbbbaabaabbbgbd	2185967
cabbaaabbbbaabaabbgbbd	2185967
cabbaaabbbbaabaabgbbbd	2185967
cabbaaabbbbaabaagbbbbd	2185967
cabbaaabbbbaabafabbbbd	2185967
cabbaaabbbbaabebabbbbd	2185967
cabbaaabbbbaafbbabbbbd	2185967
cabbaaabbbbaebbbabbbbd	2185967
cabbaaabbbbeabbbabbbbd	2185967
cabbaaabbbfbabbbabbbbd	2185967
cabbaaabbgababbbabbbbd	2185967
cabbaaabgbababbbabbbbd	2185967
cabbaaagbbababbbabbbbd	2185967
cabbaafabbababbbabbbbd	2185967
cabbaebabbababbbabbbbd	2185967
cabbeababbababbbabbbbd	2185967
cabfbababbababbbabbbbd	2185967
cagabababbababbbabbbbd	2185967
cfaabababbababbbabbbbd	2185967
caaaabababbababbbabbbbd	2185967
caaaabababbababbbabbgbd	3278951
caaaabababbababbbabgbbd	3278951
caaaabababbababbbagbbbd	3278951
caaaabababbababbbfabbbd	3278951
caaaabababbababbgaabbbd	3278951
caaaabababbababgbaabbbd	3278951
caaaabababbabagbbaabbbd	3278951
caaaabababbabfabbaabbbd	3278951
caaaabababbagaabbaabbbd	3278951
caaaabababbfaaabbaabbbd	3278951
caaaabababgaaaabbaabbbd	3278951
caaaababagbaaaabbaabbbd	3278951
caaaababfabaaaabbaabbbd	3278951
caaaabagaabaaaabbaabbbd	3278951
caaaabfaaabaaaabbaabbbd	3278951
caaaagaaaabaaaabbaabbbd	3278951
caaafaaaaabaaaabbaabbbd	3278951
caaebaaaaabaaaabbaabbbd	3278951
caeabaaaaabaaaabbaabbbd	3278951
ceaabaaaaabaaaabbaabbbd	3278951
cbaabaaaaabaaaabbaabbbd	3278951
cbaabaaaaabaaaabbaabgbd	4918427
cbaabaaaaabaaaabbaagbbd	4918427
cbaabaaaaabaaaabbafabbd	4918427
cbaabaaaaabaaaabbebabbd	4918427
cbaabaaaaabaaaabfbbabbd	4918427
cbaabaaaaabaaaagabbabbd	4918427
cbaabaaaaabaaafaabbabbd	4918427
cbaabaaaaabaaebaabbabbd	4918427
cbaabaaaaabaeabaabbabbd	4918427
cbaabaaaaabeaabaabbabbd	4918427
cbaabaaaaafbaabaabbabbd	4918427
cbaabaaaaebbaabaabbabbd	4918427
cbaabaaaeabbaabaabbabbd	4918427
cbaabaaeaabbaabaabbabbd	4918427
cbaabaeaaabbaabaabbabbd	4918427
cbaabeaaaabbaabaabbabbd	4918427
cbaafbaaaabbaabaabbabbd	4918427
cbaebbaaaabbaabaabbabbd	4918427
cbeabbaaaabbaabaabbabbd	4918427
cfbabbaaaabbaabaabbabbd	4918427
caababbaaaabbaabaabbabbd	4918427
caababbaaaabbaabaabbagbd	7377641
caababbaaaabbaabaabbfabd	7377641
caababbaaaabbaabaabgaabd	7377641
caababbaaaabbaabaagbaabd	7377641
caababbaaaabbaabafabaabd	7377641
caababbaaaabbaabebabaabd	7377641
caababbaaaabbaafbbabaabd	7377641
caababbaaaabbaebbbabaabd	7377641
caababbaaaabbeabbbabaabd	7377641
caababbaaaabfbabbbabaabd	7377641
caababbaaaagababbbabaabd	7377641
caababbaaafaababbbabaabd	7377641
caababbaaebaababbbabaabd	7377641
caababbaeabaababbbabaabd	7377641
caababbeaabaababbbabaabd	7377641
caababfbaabaababbbabaabd	7377641
caabagabaabaababbbabaabd	7377641
