"Input number 230631 with intial rewrite term cbbaaaabaabbbaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 2468  Number of array doubles: 1"
Term	Number
caaaabbbabaabebabbbbd	831215
caaaabbbabaafbbabbbbd	831215
caaaabbbabaebbbabbbbd	831215
caaaabbbabeabbbabbbbd	831215
caaaabbbafbabbbabbbbd	831215
caaaabbbebbabbbabbbbd	831215
caaaabbfbbbabbbabbbbd	831215
caaaabgabbbabbbabbbbd	831215
caaaagbabbbabbbabbbbd	831215
caaafababbbabbbabbbbd	831215
caaebababbbabbbabbbbd	831215
caeabababbbabbbabbbbd	831215
ceaabababbbabbbabbbbd	831215
cbaabababbbabbbabbbbd	831215
cbaabababbbabbbabbgbd	1246823
cbaabababbbabbbabgbbd	1246823
cbaabababbbabbbagbbbd	1246823
cbaabababbbabbbfabbbd	1246823
cbaabababbbabbgaabbbd	1246823
cbaabababbbabgbaabbbd	1246823
cbaabababbbagbbaabbbd	1246823
cbaabababbbfabbaabbbd	1246823
cbaabababbgaabbaabbbd	1246823
cbaabababgbaabbaabbbd	1246823
cbaababagbbaabbaabbbd	1246823
cbaababfabbaabbaabbbd	1246823
cbaabagaabbaabbaabbbd	1246823
cbaabfaaabbaabbaabbbd	1246823
cbaagaaaabbaabbaabbbd	1246823
cbafaaaaabbaabbaabbbd	1246823
cbebaaaaabbaabbaabbbd	1246823
cfbbaaaaabbaabbaabbbd	1246823
caabbaaaaabbaabbaabbbd	1246823
caabbaaaaabbaabbaabgbd	1870235
caabbaaaaabbaabbaagbbd	1870235
caabbaaaaabbaabbafabbd	1870235
caabbaaaaabbaabbebabbd	1870235
caabbaaaaabbaabfbbabbd	1870235
caabbaaaaabbaagabbabbd	1870235
caabbaaaaabbafaabbabbd	1870235
caabbaaaaabbebaabbabbd	1870235
caabbaaaaabfbbaabbabbd	1870235
caabbaaaaagabbaabbabbd	1870235
caabbaaaafaabbaabbabbd	1870235
caabbaaaebaabbaabbabbd	1870235
caabbaaeabaabbaabbabbd	1870235
caabbaeaabaabbaabbabbd	1870235
caabbeaaabaabbaabbabbd	1870235
caabfbaaabaabbaabbabbd	1870235
caagabaaabaabbaabbabbd	1870235
cafaabaaabaabbaabbabbd	1870235
cebaabaaabaabbaabbabbd	1870235
cbbaabaaabaabbaabbabbd	1870235
cbbaabaaabaabbaabbagbd	2805353
cbbaabaaabaabbaabbfabd	2805353
cbbaabaaabaabbaabgaabd	2805353
cbbaabaaabaabbaagbaabd	2805353
cbbaabaaabaabbafabaabd	2805353
cbbaabaaabaabbebabaabd	2805353
cbbaabaaabaabfbbabaabd	2805353
cbbaabaaabaagabbabaabd	2805353
cbbaabaaabafaabbabaabd	2805353
cbbaabaaabebaabbabaabd	2805353
cbbaabaaafbbaabbabaabd	2805353
cbbaabaaebbbaabbabaabd	2805353
cbbaabaeabbbaabbabaabd	2805353
cbbaabeaabbbaabbabaabd	2805353
cbbaafbaabbbaabbabaabd	2805353
cbbaebbaabbbaabbabaabd	2805353
cbbeabbaabbbaabbabaabd	2805353
cbfbabbaabbbaabbabaabd	2805353
cgababbaabbbaabbabaabd	2805353
cabababbaabbbaabbabaabd	2805353
cabababbaabbbaabbabebd	2104015
cabababbaabbbaabbafbbd	2104015
cabababbaabbbaabbebbbd	2104015
cabababbaabbbaabfbbbbd	2104015
cabababbaabbbaagabbbbd	2104015
cabababbaabbbafaabbbbd	2104015
cabababbaabbbebaabbbbd	2104015
cabababbaabbfbbaabbbbd	2104015
cabababbaabgabbaabbbbd	2104015
cabababbaagbabbaabbbbd	2104015
cabababbafababbaabbbbd	2104015
cabababbebababbaabbbbd	2104015
cabababfbbababbaabbbbd	2104015
cababagabbababbaabbbbd	2104015
cababfaabbababbaabbbbd	2104015
cabagaaabbababbaabbbbd	2104015
cabfaaaabbababbaabbbbd	2104015
cagaaaaabbababbaabbbbd	2104015
cfaaaaaabbababbaabbbbd	2104015
caaaaaaaabbababbaabbbbd	2104015
caaaaaaaabbababbaabbgbd	3156023
caaaaaaaabbababbaabgbbd	3156023
caaaaaaaabbababbaagbbbd	3156023
caaaaaaaabbababbafabbbd	3156023
caaaaaaaabbababbebabbbd	3156023
caaaaaaaabbababfbbabbbd	3156023
caaaaaaaabbabagabbabbbd	3156023
caaaaaaaabbabfaabbabbbd	3156023
caaaaaaaabbagaaabbabbbd	3156023
caaaaaaaabbfaaaabbabbbd	3156023
caaaaaaaabgaaaaabbabbbd	3156023
caaaaaaaagbaaaaabbabbbd	3156023
caaaaaaafabaaaaabbabbbd	3156023
caaaaaaebabaaaaabbabbbd	3156023
