"Input number 77031 with intial rewrite term caababbaabbbaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1840  Number of array doubles: 1"
Term	Number
caaaabgbabababbbbbbd	416447
caaaagbbabababbbbbbd	416447
caaafabbabababbbbbbd	416447
caaebabbabababbbbbbd	416447
caeababbabababbbbbbd	416447
ceaababbabababbbbbbd	416447
cbaababbabababbbbbbd	416447
cbaababbabababbbbgbd	624671
cbaababbabababbbgbbd	624671
cbaababbabababbgbbbd	624671
cbaababbabababgbbbbd	624671
cbaababbababagbbbbbd	624671
cbaababbababfabbbbbd	624671
cbaababbabagaabbbbbd	624671
cbaababbabfaaabbbbbd	624671
cbaababbagaaaabbbbbd	624671
cbaababbfaaaaabbbbbd	624671
cbaababgaaaaaabbbbbd	624671
cbaabagbaaaaaabbbbbd	624671
cbaabfabaaaaaabbbbbd	624671
cbaagaabaaaaaabbbbbd	624671
cbafaaabaaaaaabbbbbd	624671
cbebaaabaaaaaabbbbbd	624671
cfbbaaabaaaaaabbbbbd	624671
caabbaaabaaaaaabbbbbd	624671
caabbaaabaaaaaabbbgbd	937007
caabbaaabaaaaaabbgbbd	937007
caabbaaabaaaaaabgbbbd	937007
caabbaaabaaaaaagbbbbd	937007
caabbaaabaaaaafabbbbd	937007
caabbaaabaaaaebabbbbd	937007
caabbaaabaaaeababbbbd	937007
caabbaaabaaeaababbbbd	937007
caabbaaabaeaaababbbbd	937007
caabbaaabeaaaababbbbd	937007
caabbaaafbaaaababbbbd	937007
caabbaaebbaaaababbbbd	937007
caabbaeabbaaaababbbbd	937007
caabbeaabbaaaababbbbd	937007
caabfbaabbaaaababbbbd	937007
caagabaabbaaaababbbbd	937007
cafaabaabbaaaababbbbd	937007
cebaabaabbaaaababbbbd	937007
cbbaabaabbaaaababbbbd	937007
cbbaabaabbaaaababbgbd	1405511
cbbaabaabbaaaababgbbd	1405511
cbbaabaabbaaaabagbbbd	1405511
cbbaabaabbaaaabfabbbd	1405511
cbbaabaabbaaaagaabbbd	1405511
cbbaabaabbaaafaaabbbd	1405511
cbbaabaabbaaebaaabbbd	1405511
cbbaabaabbaeabaaabbbd	1405511
cbbaabaabbeaabaaabbbd	1405511
cbbaabaabfbaabaaabbbd	1405511
cbbaabaagabaabaaabbbd	1405511
cbbaabafaabaabaaabbbd	1405511
cbbaabebaabaabaaabbbd	1405511
cbbaafbbaabaabaaabbbd	1405511
cbbaebbbaabaabaaabbbd	1405511
cbbeabbbaabaabaaabbbd	1405511
cbfbabbbaabaabaaabbbd	1405511
cgababbbaabaabaaabbbd	1405511
cabababbbaabaabaaabbbd	1405511
cabababbbaabaabaaabgbd	2108267
cabababbbaabaabaaagbbd	2108267
cabababbbaabaabaafabbd	2108267
cabababbbaabaabaebabbd	2108267
cabababbbaabaabeababbd	2108267
cabababbbaabaafbababbd	2108267
cabababbbaabaebbababbd	2108267
cabababbbaabeabbababbd	2108267
cabababbbaafbabbababbd	2108267
cabababbbaebbabbababbd	2108267
cabababbbeabbabbababbd	2108267
cabababbfbabbabbababbd	2108267
cabababgababbabbababbd	2108267
cababagbababbabbababbd	2108267
cababfabababbabbababbd	2108267
cabagaabababbabbababbd	2108267
cabfaaabababbabbababbd	2108267
cagaaaabababbabbababbd	2108267
cfaaaaabababbabbababbd	2108267
caaaaaaabababbabbababbd	2108267
caaaaaaabababbabbabagbd	3162401
caaaaaaabababbabbabfabd	3162401
caaaaaaabababbabbagaabd	3162401
caaaaaaabababbabbfaaabd	3162401
caaaaaaabababbabgaaaabd	3162401
caaaaaaabababbagbaaaabd	3162401
caaaaaaabababbfabaaaabd	3162401
caaaaaaabababgaabaaaabd	3162401
caaaaaaababagbaabaaaabd	3162401
caaaaaaababfabaabaaaabd	3162401
caaaaaaabagaabaabaaaabd	3162401
caaaaaaabfaaabaabaaaabd	3162401
caaaaaaagaaaabaabaaaabd	3162401
caaaaaafaaaaabaabaaaabd	3162401
caaaaaebaaaaabaabaaaabd	3162401
caaaaeabaaaaabaabaaaabd	3162401
caaaeaabaaaaabaabaaaabd	3162401
caaeaaabaaaaabaabaaaabd	3162401
caeaaaabaaaaabaabaaaabd	3162401
ceaaaaabaaaaabaabaaaabd	3162401
cbaaaaabaaaaabaabaaaabd	3162401
cbaaaaabaaaaabaabaaebd	2371801
cbaaaaabaaaaabaabaeabd	2371801
cbaaaaabaaaaabaabeaabd	2371801
cbaaaaabaaaaabaafbaabd	2371801
cbaaaaabaaaaabaebbaabd	2371801
cbaaaaabaaaaabeabbaabd	2371801
cbaaaaabaaaaafbabbaabd	2371801
cbaaaaabaaaaebbabbaabd	2371801
cbaaaaabaaaeabbabbaabd	2371801
cbaaaaabaaeaabbabbaabd	2371801
cbaaaaabaeaaabbabbaabd	2371801
cbaaaaabeaaaabbabbaabd	2371801
cbaaaaafbaaaabbabbaabd	2371801
cbaaaaebbaaaabbabbaabd	2371801
cbaaaeabbaaaabbabbaabd	2371801
cbaaeaabbaaaabbabbaabd	2371801
cbaeaaabbaaaabbabbaabd	2371801
cbeaaaabbaaaabbabbaabd	2371801
cfbaaaabbaaaabbabbaabd	2371801
caabaaaabbaaaabbabbaabd	2371801
caabaaaabbaaaabbabbebd	1778851
caabaaaabbaaaabbabfbbd	1778851
caabaaaabbaaaabbagabbd	1778851
caabaaaabbaaaabbfaabbd	1778851
caabaaaabbaaaabgaaabbd	1778851
caabaaaabbaaaagbaaabbd	1778851
caabaaaabbaaafabaaabbd	1778851
caabaaaabbaaebabaaabbd	1778851
caabaaaabbaeababaaabbd	1778851
caabaaaabbeaababaaabbd	1778851
caabaaaabfbaababaaabbd	1778851
caabaaaagabaababaaabbd	1778851
caabaaafaabaababaaabbd	1778851
caabaaebaabaababaaabbd	1778851
caabaeabaabaababaaabbd	1778851
caabeaabaabaababaaabbd	1778851
caafbaabaabaababaaabbd	1778851
caebbaabaabaababaaabbd	1778851
ceabbaabaabaababaaabbd	1778851
cbabbaabaabaababaaabbd	1778851
cbabbaabaabaababaaagbd	2668277
cbabbaabaabaababaafabd	2668277
cbabbaabaabaababaebabd	2668277
cbabbaabaabaababeababd	2668277
cbabbaabaabaabafbababd	2668277
cbabbaabaabaabebbababd	2668277
cbabbaabaabaafbbbababd	2668277
cbabbaabaabaebbbbababd	2668277
cbabbaabaabeabbbbababd	2668277
cbabbaabaafbabbbbababd	2668277
cbabbaabaebbabbbbababd	2668277
cbabbaabeabbabbbbababd	2668277
cbabbaafbabbabbbbababd	2668277
cbabbaebbabbabbbbababd	2668277
cbabbeabbabbabbbbababd	2668277
cbabfbabbabbabbbbababd	2668277
cbagababbabbabbbbababd	2668277
cbfaababbabbabbbbababd	2668277
cgaaababbabbabbbbababd	2668277
cabaaababbabbabbbbababd	2668277
cabaaababbabbabbbbabd	667069
cabaaababbabbabbbbd	166767
cabaaababbabbabbgbd	250151
cabaaababbabbabgbbd	250151
cabaaababbabbagbbbd	250151
