"Input number 231166 with intial rewrite term cbbaaaabbabbbbbbbad
Generated final number 17 with final rewrite term caaabd
Number of steps: 471  Number of array doubles: 0"
Term	Number
cabbabaabbaabbfabbaad	1110860
cabbabaabbaabgaabbaad	1110860
cabbabaabbaagbaabbaad	1110860
cabbabaabbafabaabbaad	1110860
cabbabaabbebabaabbaad	1110860
cabbabaabfbbabaabbaad	1110860
cabbabaagabbabaabbaad	1110860
cabbabafaabbabaabbaad	1110860
cabbabebaabbabaabbaad	1110860
cabbafbbaabbabaabbaad	1110860
cabbebbbaabbabaabbaad	1110860
cabfbbbbaabbabaabbaad	1110860
cagabbbbaabbabaabbaad	1110860
cfaabbbbaabbabaabbaad	1110860
caaaabbbbaabbabaabbaad	1110860
caaaabbbbaabbabaabbad	555430
caaaabbbbaabbabaabbd	277715
caaaabbbbaabbabaabgd	416573
caaaabbbbaabbabaagbd	416573
caaaabbbbaabbabafabd	416573
caaaabbbbaabbabebabd	416573
caaaabbbbaabbafbbabd	416573
caaaabbbbaabbebbbabd	416573
caaaabbbbaabfbbbbabd	416573
caaaabbbbaagabbbbabd	416573
caaaabbbbafaabbbbabd	416573
caaaabbbbebaabbbbabd	416573
caaaabbbfbbaabbbbabd	416573
caaaabbgabbaabbbbabd	416573
caaaabgbabbaabbbbabd	416573
caaaagbbabbaabbbbabd	416573
caaafabbabbaabbbbabd	416573
caaebabbabbaabbbbabd	416573
caeababbabbaabbbbabd	416573
ceaababbabbaabbbbabd	416573
cbaababbabbaabbbbabd	416573
cbaababbabbaabbbbagd	624860
cbaababbabbaabbbbfad	624860
cbaababbabbaabbbgaad	624860
cbaababbabbaabbgbaad	624860
cbaababbabbaabgbbaad	624860
cbaababbabbaagbbbaad	624860
cbaababbabbafabbbaad	624860
cbaababbabbebabbbaad	624860
cbaababbabfbbabbbaad	624860
cbaababbagabbabbbaad	624860
cbaababbfaabbabbbaad	624860
cbaababgaaabbabbbaad	624860
cbaabagbaaabbabbbaad	624860
cbaabfabaaabbabbbaad	624860
cbaagaabaaabbabbbaad	624860
cbafaaabaaabbabbbaad	624860
cbebaaabaaabbabbbaad	624860
cfbbaaabaaabbabbbaad	624860
caabbaaabaaabbabbbaad	624860
caabbaaabaaabbabbbad	312430
caabbaaabaaabbabbbd	156215
caabbaaabaaabbabbgd	234323
caabbaaabaaabbabgbd	234323
caabbaaabaaabbagbbd	234323
caabbaaabaaabbfabbd	234323
caabbaaabaaabgaabbd	234323
caabbaaabaaagbaabbd	234323
caabbaaabaafabaabbd	234323
caabbaaabaebabaabbd	234323
caabbaaabeababaabbd	234323
caabbaaafbababaabbd	234323
caabbaaebbababaabbd	234323
caabbaeabbababaabbd	234323
caabbeaabbababaabbd	234323
caabfbaabbababaabbd	234323
caagabaabbababaabbd	234323
cafaabaabbababaabbd	234323
cebaabaabbababaabbd	234323
cbbaabaabbababaabbd	234323
cbbaabaabbababaabgd	351485
cbbaabaabbababaagbd	351485
cbbaabaabbababafabd	351485
cbbaabaabbababebabd	351485
cbbaabaabbabafbbabd	351485
cbbaabaabbabebbbabd	351485
cbbaabaabbafbbbbabd	351485
cbbaabaabbebbbbbabd	351485
cbbaabaabfbbbbbbabd	351485
cbbaabaagabbbbbbabd	351485
cbbaabafaabbbbbbabd	351485
cbbaabebaabbbbbbabd	351485
cbbaafbbaabbbbbbabd	351485
cbbaebbbaabbbbbbabd	351485
cbbeabbbaabbbbbbabd	351485
cbfbabbbaabbbbbbabd	351485
cgababbbaabbbbbbabd	351485
cabababbbaabbbbbbabd	351485
cabababbbaabbbbbbagd	527228
cabababbbaabbbbbbfad	527228
cabababbbaabbbbbgaad	527228
cabababbbaabbbbgbaad	527228
cabababbbaabbbgbbaad	527228
cabababbbaabbgbbbaad	527228
cabababbbaabgbbbbaad	527228
cabababbbaagbbbbbaad	527228
cabababbbafabbbbbaad	527228
cabababbbebabbbbbaad	527228
cabababbfbbabbbbbaad	527228
cabababgabbabbbbbaad	527228
cababagbabbabbbbbaad	527228
cababfababbabbbbbaad	527228
cabagaababbabbbbbaad	527228
cabfaaababbabbbbbaad	527228
cagaaaababbabbbbbaad	527228
cfaaaaababbabbbbbaad	527228
caaaaaaababbabbbbbaad	527228
caaaaaaababbabbbbbad	263614
caaaaaaababbabbbbbd	131807
caaaaaaababbabbbbgd	197711
caaaaaaababbabbbgbd	197711
caaaaaaababbabbgbbd	197711
caaaaaaababbabgbbbd	197711
caaaaaaababbagbbbbd	197711
caaaaaaababbfabbbbd	197711
caaaaaaababgaabbbbd	197711
caaaaaaabagbaabbbbd	197711
caaaaaaabfabaabbbbd	197711
caaaaaaagaabaabbbbd	197711
caaaaaafaaabaabbbbd	197711
caaaaaebaaabaabbbbd	197711
caaaaeabaaabaabbbbd	197711
caaaeaabaaabaabbbbd	197711
caaeaaabaaabaabbbbd	197711
caeaaaabaaabaabbbbd	197711
ceaaaaabaaabaabbbbd	197711
cbaaaaabaaabaabbbbd	197711
cbaaaaabaaabaabbbgd	296567
cbaaaaabaaabaabbgbd	296567
cbaaaaabaaabaabgbbd	296567
cbaaaaabaaabaagbbbd	296567
cbaaaaabaaabafabbbd	296567
cbaaaaabaaabebabbbd	296567
cbaaaaabaaafbbabbbd	296567
cbaaaaabaaebbbabbbd	296567
cbaaaaabaeabbbabbbd	296567
cbaaaaabeaabbbabbbd	296567
cbaaaaafbaabbbabbbd	296567
cbaaaaebbaabbbabbbd	296567
cbaaaeabbaabbbabbbd	296567
cbaaeaabbaabbbabbbd	296567
cbaeaaabbaabbbabbbd	296567
cbeaaaabbaabbbabbbd	296567
cfbaaaabbaabbbabbbd	296567
caabaaaabbaabbbabbbd	296567
caabaaaabbaabbbabbgd	444851
caabaaaabbaabbbabgbd	444851
caabaaaabbaabbbagbbd	444851
caabaaaabbaabbbfabbd	444851
caabaaaabbaabbgaabbd	444851
caabaaaabbaabgbaabbd	444851
caabaaaabbaagbbaabbd	444851
caabaaaabbafabbaabbd	444851
caabaaaabbebabbaabbd	444851
caabaaaabfbbabbaabbd	444851
caabaaaagabbabbaabbd	444851
caabaaafaabbabbaabbd	444851
caabaaebaabbabbaabbd	444851
caabaeabaabbabbaabbd	444851
caabeaabaabbabbaabbd	444851
caafbaabaabbabbaabbd	444851
caebbaabaabbabbaabbd	444851
ceabbaabaabbabbaabbd	444851
cbabbaabaabbabbaabbd	444851
cbabbaabaabbabbaabgd	667277
cbabbaabaabbabbaagbd	667277
cbabbaabaabbabbafabd	667277
cbabbaabaabbabbebabd	667277
cbabbaabaabbabfbbabd	667277
cbabbaabaabbagabbabd	667277
cbabbaabaabbfaabbabd	667277
cbabbaabaabgaaabbabd	667277
cbabbaabaagbaaabbabd	667277
cbabbaabafabaaabbabd	667277
cbabbaabebabaaabbabd	667277
cbabbaafbbabaaabbabd	667277
cbabbaebbbabaaabbabd	667277
cbabbeabbbabaaabbabd	667277
cbabfbabbbabaaabbabd	667277
cbagababbbabaaabbabd	667277
cbfaababbbabaaabbabd	667277
cgaaababbbabaaabbabd	667277
cabaaababbbabaaabbabd	667277
cabaaababbbabaaabbagd	1000916
cabaaababbbabaaabbfad	1000916
cabaaababbbabaaabgaad	1000916
cabaaababbbabaaagbaad	1000916
cabaaababbbabaafabaad	1000916
cabaaababbbabaebabaad	1000916
cabaaababbbabeababaad	1000916
cabaaababbbafbababaad	1000916
cabaaababbbebbababaad	1000916
cabaaababbfbbbababaad	1000916
cabaaababgabbbababaad	1000916
cabaaabagbabbbababaad	1000916
cabaaabfababbbababaad	1000916
cabaaagaababbbababaad	1000916
cabaafaaababbbababaad	1000916
cabaebaaababbbababaad	1000916
cabeabaaababbbababaad	1000916
cafbabaaababbbababaad	1000916
cebbabaaababbbababaad	1000916
cbbbabaaababbbababaad	1000916
cbbbabaaababbbababad	500458
cbbbabaaababbbababd	250229
cbbbabaaababbbabagd	375344
cbbbabaaababbbabfad	375344
cbbbabaaababbbagaad	375344
cbbbabaaababbbfaaad	375344
cbbbabaaababbgaaaad	375344
cbbbabaaababgbaaaad	375344
cbbbabaaabagbbaaaad	375344
cbbbabaaabfabbaaaad	375344
cbbbabaaagaabbaaaad	375344
