Input Number	Final Number	Number of rewrite steps	Number of array doubles
10	1	7	0
52	1	14	0
46	1	28	0
1276	577	114	0
844	17	73	0
766	17	112	0
4084	17	125	0
5446	17	140	0
14668	1	134	0
202972	1145	293	0
37054	2825	298	0
197620	2825	317	0
213244	17	280	0
189550	17	318	0
231166	17	471	0
965500	6209	602	0
4947964	161	739	0
1954750	161	827	0
2606332	161	848	0
16474588	161	944	0
30855004	161	1115	0
18284446	161	1191	0
73137784	161	1193	0
97517044	161	1219	0
180487420	35369	1446	0
1283466100	35369	1508	0
300473086	35369	1716	0
400630780	35369	1744	0
801261562	35369	1747	0
1068348748	35369	1776	0
2136697492	35369	1776	0
2848929994	35369	1809	0
