"Input number 12319 with intial rewrite term cbaaaaaaabbbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 244  Number of array doubles: 0"
Term	Number
cbbbaabgabbbaabd	46777
cbbbaagbabbbaabd	46777
cbbbafababbbaabd	46777
cbbbebababbbaabd	46777
cbbfbbababbbaabd	46777
cbgabbababbbaabd	46777
cgbabbababbbaabd	46777
cabbabbababbbaabd	46777
cabbabbababbbebd	35083
cabbabbababbfbbd	35083
cabbabbababgabbd	35083
cabbabbabagbabbd	35083
cabbabbabfababbd	35083
cabbabbagaababbd	35083
cabbabbfaaababbd	35083
cabbabgaaaababbd	35083
cabbagbaaaababbd	35083
cabbfabaaaababbd	35083
cabgaabaaaababbd	35083
cagbaabaaaababbd	35083
cfabaabaaaababbd	35083
caaabaabaaaababbd	35083
caaabaabaaaabfabd	52625
caaabaabaaaagaabd	52625
caaabaabaaafaaabd	52625
caaabaabaaebaaabd	52625
caaabaabaeabaaabd	52625
caaabaabeaabaaabd	52625
caaabaafbaabaaabd	52625
caaabaebbaabaaabd	52625
caaabeabbaabaaabd	52625
caaafbabbaabaaabd	52625
caaebbabbaabaaabd	52625
caeabbabbaabaaabd	52625
ceaabbabbaabaaabd	52625
cbaabbabbaabaaabd	52625
cbaabbabbaabaebd	39469
cbaabbabbaabeabd	39469
cbaabbabbaafbabd	39469
cbaabbabbaebbabd	39469
cbaabbabbeabbabd	39469
cbaabbabfbabbabd	39469
cbaabbagababbabd	39469
cbaabbfaababbabd	39469
cbaabgaaababbabd	39469
cbaagbaaababbabd	39469
cbafabaaababbabd	39469
cbebabaaababbabd	39469
cfbbabaaababbabd	39469
caabbabaaababbabd	39469
caabbabaaababbd	9867
caabbabaaabfabd	14801
caabbabaaagaabd	14801
caabbabaafaaabd	14801
caabbabaebaaabd	14801
caabbabeabaaabd	14801
caabbafbabaaabd	14801
caabbebbabaaabd	14801
caabfbbbabaaabd	14801
caagabbbabaaabd	14801
cafaabbbabaaabd	14801
cebaabbbabaaabd	14801
cbbaabbbabaaabd	14801
cbbaabbbabaebd	11101
cbbaabbbabeabd	11101
cbbaabbbafbabd	11101
cbbaabbbebbabd	11101
cbbaabbfbbbabd	11101
cbbaabgabbbabd	11101
cbbaagbabbbabd	11101
cbbafababbbabd	11101
cbbebababbbabd	11101
cbfbbababbbabd	11101
cgabbababbbabd	11101
cababbababbbabd	11101
cababbababbbd	2775
cababbabagbbd	4163
cababbabfabbd	4163
cababbagaabbd	4163
cababbfaaabbd	4163
cababgaaaabbd	4163
cabagbaaaabbd	4163
cabfabaaaabbd	4163
cagaabaaaabbd	4163
cfaaabaaaabbd	4163
caaaaabaaaabbd	4163
caaaaabaaafabd	6245
caaaaabaaebabd	6245
caaaaabaeababd	6245
caaaaabeaababd	6245
caaaaafbaababd	6245
caaaaebbaababd	6245
caaaeabbaababd	6245
caaeaabbaababd	6245
caeaaabbaababd	6245
ceaaaabbaababd	6245
cbaaaabbaababd	6245
cbaaaabbaabd	1561
cbaaaabbebd	1171
cbaaaabfbbd	1171
cbaaaagabbd	1171
cbaaafaabbd	1171
cbaaebaabbd	1171
cbaeabaabbd	1171
cbeaabaabbd	1171
cfbaabaabbd	1171
caabaabaabbd	1171
caabaabafabd	1757
caabaabebabd	1757
caabaafbbabd	1757
caabaebbbabd	1757
caabeabbbabd	1757
caafbabbbabd	1757
caebbabbbabd	1757
ceabbabbbabd	1757
cbabbabbbabd	1757
cbabbabbbd	439
cbabbagbbd	659
cbabbfabbd	659
cbabgaabbd	659
cbagbaabbd	659
cbfabaabbd	659
cgaabaabbd	659
cabaabaabbd	659
cabaabafabd	989
cabaabebabd	989
cabaafbbabd	989
cabaebbbabd	989
cabeabbbabd	989
cafbabbbabd	989
cebbabbbabd	989
cbbbabbbabd	989
cbbbabbbd	247
cbbbagbbd	371
cbbbfabbd	371
cbbgaabbd	371
cbgbaabbd	371
cgbbaabbd	371
cabbbaabbd	371
cabbbafabd	557
cabbbebabd	557
cabbfbbabd	557
cabgabbabd	557
cagbabbabd	557
cfababbabd	557
caaababbabd	557
caaababbd	139
caaabfabd	209
caaagaabd	209
caafaaabd	209
caebaaabd	209
ceabaaabd	209
cbabaaabd	209
cbabaebd	157
cbabeabd	157
cbafbabd	157
cbebbabd	157
cfbbbabd	157
caabbbabd	157
caabbbd	39
caagbbd	59
cafabbd	59
cebabbd	59
cbbabbd	59
cbbfabd	89
cbgaabd	89
cgbaabd	89
cabbaabd	89
cabbebd	67
cabfbbd	67
cagabbd	67
cfaabbd	67
caaaabbd	67
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaabd	25
cbebd	19
cfbbd	19
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbbd	7
