"Input number 1379295 with intial rewrite term cababaaaababbbbabbbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 511  Number of array doubles: 0"
Term	Number
caaaabbabbabfbbaaaaabd	1657025
caaaabbabbagabbaaaaabd	1657025
caaaabbabbfaabbaaaaabd	1657025
caaaabbabgaaabbaaaaabd	1657025
caaaabbagbaaabbaaaaabd	1657025
caaaabbfabaaabbaaaaabd	1657025
caaaabgaabaaabbaaaaabd	1657025
caaaagbaabaaabbaaaaabd	1657025
caaafabaabaaabbaaaaabd	1657025
caaebabaabaaabbaaaaabd	1657025
caeababaabaaabbaaaaabd	1657025
ceaababaabaaabbaaaaabd	1657025
cbaababaabaaabbaaaaabd	1657025
cbaababaabaaabbaaaebd	1242769
cbaababaabaaabbaaeabd	1242769
cbaababaabaaabbaeaabd	1242769
cbaababaabaaabbeaaabd	1242769
cbaababaabaaabfbaaabd	1242769
cbaababaabaaagabaaabd	1242769
cbaababaabaafaabaaabd	1242769
cbaababaabaebaabaaabd	1242769
cbaababaabeabaabaaabd	1242769
cbaababaafbabaabaaabd	1242769
cbaababaebbabaabaaabd	1242769
cbaababeabbabaabaaabd	1242769
cbaabafbabbabaabaaabd	1242769
cbaabebbabbabaabaaabd	1242769
cbaafbbbabbabaabaaabd	1242769
cbaebbbbabbabaabaaabd	1242769
cbeabbbbabbabaabaaabd	1242769
cfbabbbbabbabaabaaabd	1242769
caababbbbabbabaabaaabd	1242769
caababbbbabbabaabaebd	932077
caababbbbabbabaabeabd	932077
caababbbbabbabaafbabd	932077
caababbbbabbabaebbabd	932077
caababbbbabbabeabbabd	932077
caababbbbabbafbabbabd	932077
caababbbbabbebbabbabd	932077
caababbbbabfbbbabbabd	932077
caababbbbagabbbabbabd	932077
caababbbbfaabbbabbabd	932077
caababbbgaaabbbabbabd	932077
caababbgbaaabbbabbabd	932077
caababgbbaaabbbabbabd	932077
caabagbbbaaabbbabbabd	932077
caabfabbbaaabbbabbabd	932077
caagaabbbaaabbbabbabd	932077
cafaaabbbaaabbbabbabd	932077
cebaaabbbaaabbbabbabd	932077
cbbaaabbbaaabbbabbabd	932077
cbbaaabbbaaabbbabbd	233019
cbbaaabbbaaabbbfabd	349529
cbbaaabbbaaabbgaabd	349529
cbbaaabbbaaabgbaabd	349529
cbbaaabbbaaagbbaabd	349529
cbbaaabbbaafabbaabd	349529
cbbaaabbbaebabbaabd	349529
cbbaaabbbeababbaabd	349529
cbbaaabbfbababbaabd	349529
cbbaaabgabababbaabd	349529
cbbaaagbabababbaabd	349529
cbbaafababababbaabd	349529
cbbaebababababbaabd	349529
cbbeabababababbaabd	349529
cbfbabababababbaabd	349529
cgababababababbaabd	349529
cabababababababbaabd	349529
cabababababababbebd	262147
cabababababababfbbd	262147
cababababababagabbd	262147
cababababababfaabbd	262147
cabababababagaaabbd	262147
cabababababfaaaabbd	262147
cababababagaaaaabbd	262147
cababababfaaaaaabbd	262147
cabababagaaaaaaabbd	262147
cabababfaaaaaaaabbd	262147
cababagaaaaaaaaabbd	262147
cababfaaaaaaaaaabbd	262147
cabagaaaaaaaaaaabbd	262147
cabfaaaaaaaaaaaabbd	262147
cagaaaaaaaaaaaaabbd	262147
cfaaaaaaaaaaaaaabbd	262147
caaaaaaaaaaaaaaaabbd	262147
caaaaaaaaaaaaaaafabd	393221
caaaaaaaaaaaaaaebabd	393221
caaaaaaaaaaaaaeababd	393221
caaaaaaaaaaaaeaababd	393221
caaaaaaaaaaaeaaababd	393221
caaaaaaaaaaeaaaababd	393221
caaaaaaaaaeaaaaababd	393221
caaaaaaaaeaaaaaababd	393221
caaaaaaaeaaaaaaababd	393221
caaaaaaeaaaaaaaababd	393221
caaaaaeaaaaaaaaababd	393221
caaaaeaaaaaaaaaababd	393221
caaaeaaaaaaaaaaababd	393221
caaeaaaaaaaaaaaababd	393221
caeaaaaaaaaaaaaababd	393221
ceaaaaaaaaaaaaaababd	393221
cbaaaaaaaaaaaaaababd	393221
cbaaaaaaaaaaaaaabd	98305
cbaaaaaaaaaaaaebd	73729
cbaaaaaaaaaaaeabd	73729
cbaaaaaaaaaaeaabd	73729
cbaaaaaaaaaeaaabd	73729
cbaaaaaaaaeaaaabd	73729
cbaaaaaaaeaaaaabd	73729
cbaaaaaaeaaaaaabd	73729
cbaaaaaeaaaaaaabd	73729
cbaaaaeaaaaaaaabd	73729
cbaaaeaaaaaaaaabd	73729
cbaaeaaaaaaaaaabd	73729
cbaeaaaaaaaaaaabd	73729
cbeaaaaaaaaaaaabd	73729
