"Input number 140458198 with intial rewrite term caaaababbbbbaabbbaaabbababbad
Generated final number 32070439 with final rewrite term cbbbabaabababbabbaabaabbbd
Number of steps: 541  Number of array doubles: 0"
Term	Number
cbbbbbbaabaabbaaababbbgaabd	99994169
cbbbbbbaabaabbaaababbgbaabd	99994169
cbbbbbbaabaabbaaababgbbaabd	99994169
cbbbbbbaabaabbaaabagbbbaabd	99994169
cbbbbbbaabaabbaaabfabbbaabd	99994169
cbbbbbbaabaabbaaagaabbbaabd	99994169
cbbbbbbaabaabbaafaaabbbaabd	99994169
cbbbbbbaabaabbaebaaabbbaabd	99994169
cbbbbbbaabaabbeabaaabbbaabd	99994169
cbbbbbbaabaabfbabaaabbbaabd	99994169
cbbbbbbaabaagababaaabbbaabd	99994169
cbbbbbbaabafaababaaabbbaabd	99994169
cbbbbbbaabebaababaaabbbaabd	99994169
cbbbbbbaafbbaababaaabbbaabd	99994169
cbbbbbbaebbbaababaaabbbaabd	99994169
cbbbbbbeabbbaababaaabbbaabd	99994169
cbbbbbfbabbbaababaaabbbaabd	99994169
cbbbbgababbbaababaaabbbaabd	99994169
cbbbgbababbbaababaaabbbaabd	99994169
cbbgbbababbbaababaaabbbaabd	99994169
cbgbbbababbbaababaaabbbaabd	99994169
cgbbbbababbbaababaaabbbaabd	99994169
cabbbbbababbbaababaaabbbaabd	99994169
cabbbbbababbbaababaaabbbebd	74995627
cabbbbbababbbaababaaabbfbbd	74995627
cabbbbbababbbaababaaabgabbd	74995627
cabbbbbababbbaababaaagbabbd	74995627
cabbbbbababbbaababaafababbd	74995627
cabbbbbababbbaababaebababbd	74995627
cabbbbbababbbaababeabababbd	74995627
cabbbbbababbbaabafbabababbd	74995627
cabbbbbababbbaabebbabababbd	74995627
cabbbbbababbbaafbbbabababbd	74995627
cabbbbbababbbaebbbbabababbd	74995627
cabbbbbababbbeabbbbabababbd	74995627
cabbbbbababbfbabbbbabababbd	74995627
cabbbbbababgababbbbabababbd	74995627
cabbbbbabagbababbbbabababbd	74995627
cabbbbbabfabababbbbabababbd	74995627
cabbbbbagaabababbbbabababbd	74995627
cabbbbbfaaabababbbbabababbd	74995627
cabbbbgaaaabababbbbabababbd	74995627
cabbbgbaaaabababbbbabababbd	74995627
cabbgbbaaaabababbbbabababbd	74995627
cabgbbbaaaabababbbbabababbd	74995627
cagbbbbaaaabababbbbabababbd	74995627
cfabbbbaaaabababbbbabababbd	74995627
caaabbbbaaaabababbbbabababbd	74995627
caaabbbbaaaabababbbbababfabd	112493441
caaabbbbaaaabababbbbabagaabd	112493441
caaabbbbaaaabababbbbabfaaabd	112493441
caaabbbbaaaabababbbbagaaaabd	112493441
caaabbbbaaaabababbbbfaaaaabd	112493441
caaabbbbaaaabababbbgaaaaaabd	112493441
caaabbbbaaaabababbgbaaaaaabd	112493441
caaabbbbaaaabababgbbaaaaaabd	112493441
caaabbbbaaaababagbbbaaaaaabd	112493441
