"Input number 71106448 with intial rewrite term caaaabbbbaabbbbbbbbbaabaaaad
Generated final number 1352965 with final rewrite term cabaababaababaaaaababd
Number of steps: 427  Number of array doubles: 0"
Term	Number
cbaaaaabaebabaaabbbaabd	4745785
cbaaaaabeababaaabbbaabd	4745785
cbaaaaafbababaaabbbaabd	4745785
cbaaaaebbababaaabbbaabd	4745785
cbaaaeabbababaaabbbaabd	4745785
cbaaeaabbababaaabbbaabd	4745785
cbaeaaabbababaaabbbaabd	4745785
cbeaaaabbababaaabbbaabd	4745785
cfbaaaabbababaaabbbaabd	4745785
caabaaaabbababaaabbbaabd	4745785
caabaaaabbababaaabbbebd	3559339
caabaaaabbababaaabbfbbd	3559339
caabaaaabbababaaabgabbd	3559339
caabaaaabbababaaagbabbd	3559339
caabaaaabbababaafababbd	3559339
caabaaaabbababaebababbd	3559339
caabaaaabbababeabababbd	3559339
caabaaaabbabafbabababbd	3559339
caabaaaabbabebbabababbd	3559339
caabaaaabbafbbbabababbd	3559339
caabaaaabbebbbbabababbd	3559339
caabaaaabfbbbbbabababbd	3559339
caabaaaagabbbbbabababbd	3559339
caabaaafaabbbbbabababbd	3559339
caabaaebaabbbbbabababbd	3559339
caabaeabaabbbbbabababbd	3559339
caabeaabaabbbbbabababbd	3559339
caafbaabaabbbbbabababbd	3559339
caebbaabaabbbbbabababbd	3559339
ceabbaabaabbbbbabababbd	3559339
cbabbaabaabbbbbabababbd	3559339
cbabbaabaabbbbbababfabd	5339009
cbabbaabaabbbbbabagaabd	5339009
cbabbaabaabbbbbabfaaabd	5339009
cbabbaabaabbbbbagaaaabd	5339009
cbabbaabaabbbbbfaaaaabd	5339009
cbabbaabaabbbbgaaaaaabd	5339009
cbabbaabaabbbgbaaaaaabd	5339009
cbabbaabaabbgbbaaaaaabd	5339009
cbabbaabaabgbbbaaaaaabd	5339009
cbabbaabaagbbbbaaaaaabd	5339009
cbabbaabafabbbbaaaaaabd	5339009
cbabbaabebabbbbaaaaaabd	5339009
cbabbaafbbabbbbaaaaaabd	5339009
cbabbaebbbabbbbaaaaaabd	5339009
cbabbeabbbabbbbaaaaaabd	5339009
cbabfbabbbabbbbaaaaaabd	5339009
cbagababbbabbbbaaaaaabd	5339009
cbfaababbbabbbbaaaaaabd	5339009
cgaaababbbabbbbaaaaaabd	5339009
cabaaababbbabbbbaaaaaabd	5339009
cabaaababbbabbbbaaaaebd	4004257
cabaaababbbabbbbaaaeabd	4004257
cabaaababbbabbbbaaeaabd	4004257
cabaaababbbabbbbaeaaabd	4004257
cabaaababbbabbbbeaaaabd	4004257
cabaaababbbabbbfbaaaabd	4004257
cabaaababbbabbgabaaaabd	4004257
cabaaababbbabgbabaaaabd	4004257
cabaaababbbagbbabaaaabd	4004257
cabaaababbbfabbabaaaabd	4004257
cabaaababbgaabbabaaaabd	4004257
cabaaababgbaabbabaaaabd	4004257
cabaaabagbbaabbabaaaabd	4004257
cabaaabfabbaabbabaaaabd	4004257
cabaaagaabbaabbabaaaabd	4004257
cabaafaaabbaabbabaaaabd	4004257
cabaebaaabbaabbabaaaabd	4004257
cabeabaaabbaabbabaaaabd	4004257
cafbabaaabbaabbabaaaabd	4004257
cebbabaaabbaabbabaaaabd	4004257
cbbbabaaabbaabbabaaaabd	4004257
cbbbabaaabbaabbabaaebd	3003193
cbbbabaaabbaabbabaeabd	3003193
cbbbabaaabbaabbabeaabd	3003193
cbbbabaaabbaabbafbaabd	3003193
cbbbabaaabbaabbebbaabd	3003193
cbbbabaaabbaabfbbbaabd	3003193
cbbbabaaabbaagabbbaabd	3003193
cbbbabaaabbafaabbbaabd	3003193
