"Input number 782053216 with intial rewrite term cabbbabaabbbabaababbbbabbaaaaad
Generated final number 22320517 with final rewrite term cabababaabaabababbaaaababd
Number of steps: 506  Number of array doubles: 0"
Term	Number
cabbaaaabbbbbfbbaabbbaabd	17398585
cabbaaaabbbbgabbaabbbaabd	17398585
cabbaaaabbbgbabbaabbbaabd	17398585
cabbaaaabbgbbabbaabbbaabd	17398585
cabbaaaabgbbbabbaabbbaabd	17398585
cabbaaaagbbbbabbaabbbaabd	17398585
cabbaaafabbbbabbaabbbaabd	17398585
cabbaaebabbbbabbaabbbaabd	17398585
cabbaeababbbbabbaabbbaabd	17398585
cabbeaababbbbabbaabbbaabd	17398585
cabfbaababbbbabbaabbbaabd	17398585
cagabaababbbbabbaabbbaabd	17398585
cfaabaababbbbabbaabbbaabd	17398585
caaaabaababbbbabbaabbbaabd	17398585
caaaabaababbbbabbaabbbebd	13048939
caaaabaababbbbabbaabbfbbd	13048939
caaaabaababbbbabbaabgabbd	13048939
caaaabaababbbbabbaagbabbd	13048939
caaaabaababbbbabbafababbd	13048939
caaaabaababbbbabbebababbd	13048939
caaaabaababbbbabfbbababbd	13048939
caaaabaababbbbagabbababbd	13048939
caaaabaababbbbfaabbababbd	13048939
caaaabaababbbgaaabbababbd	13048939
caaaabaababbgbaaabbababbd	13048939
caaaabaababgbbaaabbababbd	13048939
caaaabaabagbbbaaabbababbd	13048939
caaaabaabfabbbaaabbababbd	13048939
caaaabaagaabbbaaabbababbd	13048939
caaaabafaaabbbaaabbababbd	13048939
caaaabebaaabbbaaabbababbd	13048939
caaaafbbaaabbbaaabbababbd	13048939
caaaebbbaaabbbaaabbababbd	13048939
caaeabbbaaabbbaaabbababbd	13048939
caeaabbbaaabbbaaabbababbd	13048939
ceaaabbbaaabbbaaabbababbd	13048939
cbaaabbbaaabbbaaabbababbd	13048939
cbaaabbbaaabbbaaabbabfabd	19573409
cbaaabbbaaabbbaaabbagaabd	19573409
cbaaabbbaaabbbaaabbfaaabd	19573409
cbaaabbbaaabbbaaabgaaaabd	19573409
cbaaabbbaaabbbaaagbaaaabd	19573409
cbaaabbbaaabbbaafabaaaabd	19573409
cbaaabbbaaabbbaebabaaaabd	19573409
cbaaabbbaaabbbeababaaaabd	19573409
cbaaabbbaaabbfbababaaaabd	19573409
cbaaabbbaaabgabababaaaabd	19573409
cbaaabbbaaagbabababaaaabd	19573409
cbaaabbbaafababababaaaabd	19573409
cbaaabbbaebababababaaaabd	19573409
cbaaabbbeabababababaaaabd	19573409
cbaaabbfbabababababaaaabd	19573409
cbaaabgababababababaaaabd	19573409
cbaaagbababababababaaaabd	19573409
cbaafabababababababaaaabd	19573409
cbaebabababababababaaaabd	19573409
cbeababababababababaaaabd	19573409
cfbababababababababaaaabd	19573409
caabababababababababaaaabd	19573409
caabababababababababaaebd	14680057
caabababababababababaeabd	14680057
caabababababababababeaabd	14680057
caababababababababafbaabd	14680057
caababababababababebbaabd	14680057
caabababababababafbbbaabd	14680057
caabababababababebbbbaabd	14680057
caababababababafbbbbbaabd	14680057
caababababababebbbbbbaabd	14680057
caabababababafbbbbbbbaabd	14680057
caabababababebbbbbbbbaabd	14680057
caababababafbbbbbbbbbaabd	14680057
caababababebbbbbbbbbbaabd	14680057
caabababafbbbbbbbbbbbaabd	14680057
caabababebbbbbbbbbbbbaabd	14680057
caababafbbbbbbbbbbbbbaabd	14680057
caababebbbbbbbbbbbbbbaabd	14680057
caabafbbbbbbbbbbbbbbbaabd	14680057
caabebbbbbbbbbbbbbbbbaabd	14680057
caafbbbbbbbbbbbbbbbbbaabd	14680057
caebbbbbbbbbbbbbbbbbbaabd	14680057
ceabbbbbbbbbbbbbbbbbbaabd	14680057
cbabbbbbbbbbbbbbbbbbbaabd	14680057
cbabbbbbbbbbbbbbbbbbbebd	11010043
cbabbbbbbbbbbbbbbbbbfbbd	11010043
cbabbbbbbbbbbbbbbbbgabbd	11010043
cbabbbbbbbbbbbbbbbgbabbd	11010043
cbabbbbbbbbbbbbbbgbbabbd	11010043
cbabbbbbbbbbbbbbgbbbabbd	11010043
cbabbbbbbbbbbbbgbbbbabbd	11010043
cbabbbbbbbbbbbgbbbbbabbd	11010043
cbabbbbbbbbbbgbbbbbbabbd	11010043
cbabbbbbbbbbgbbbbbbbabbd	11010043
cbabbbbbbbbgbbbbbbbbabbd	11010043
cbabbbbbbbgbbbbbbbbbabbd	11010043
cbabbbbbbgbbbbbbbbbbabbd	11010043
cbabbbbbgbbbbbbbbbbbabbd	11010043
cbabbbbgbbbbbbbbbbbbabbd	11010043
cbabbbgbbbbbbbbbbbbbabbd	11010043
cbabbgbbbbbbbbbbbbbbabbd	11010043
cbabgbbbbbbbbbbbbbbbabbd	11010043
cbagbbbbbbbbbbbbbbbbabbd	11010043
cbfabbbbbbbbbbbbbbbbabbd	11010043
cgaabbbbbbbbbbbbbbbbabbd	11010043
cabaabbbbbbbbbbbbbbbbabbd	11010043
cabaabbbbbbbbbbbbbbbbfabd	16515065
cabaabbbbbbbbbbbbbbbgaabd	16515065
cabaabbbbbbbbbbbbbbgbaabd	16515065
cabaabbbbbbbbbbbbbgbbaabd	16515065
cabaabbbbbbbbbbbbgbbbaabd	16515065
cabaabbbbbbbbbbbgbbbbaabd	16515065
cabaabbbbbbbbbbgbbbbbaabd	16515065
cabaabbbbbbbbbgbbbbbbaabd	16515065
cabaabbbbbbbbgbbbbbbbaabd	16515065
cabaabbbbbbbgbbbbbbbbaabd	16515065
cabaabbbbbbgbbbbbbbbbaabd	16515065
cabaabbbbbgbbbbbbbbbbaabd	16515065
cabaabbbbgbbbbbbbbbbbaabd	16515065
cabaabbbgbbbbbbbbbbbbaabd	16515065
cabaabbgbbbbbbbbbbbbbaabd	16515065
cabaabgbbbbbbbbbbbbbbaabd	16515065
cabaagbbbbbbbbbbbbbbbaabd	16515065
cabafabbbbbbbbbbbbbbbaabd	16515065
cabebabbbbbbbbbbbbbbbaabd	16515065
cafbbabbbbbbbbbbbbbbbaabd	16515065
cebbbabbbbbbbbbbbbbbbaabd	16515065
cbbbbabbbbbbbbbbbbbbbaabd	16515065
cbbbbabbbbbbbbbbbbbbbebd	12386299
cbbbbabbbbbbbbbbbbbbfbbd	12386299
cbbbbabbbbbbbbbbbbbgabbd	12386299
cbbbbabbbbbbbbbbbbgbabbd	12386299
cbbbbabbbbbbbbbbbgbbabbd	12386299
cbbbbabbbbbbbbbbgbbbabbd	12386299
cbbbbabbbbbbbbbgbbbbabbd	12386299
cbbbbabbbbbbbbgbbbbbabbd	12386299
cbbbbabbbbbbbgbbbbbbabbd	12386299
cbbbbabbbbbbgbbbbbbbabbd	12386299
cbbbbabbbbbgbbbbbbbbabbd	12386299
cbbbbabbbbgbbbbbbbbbabbd	12386299
cbbbbabbbgbbbbbbbbbbabbd	12386299
cbbbbabbgbbbbbbbbbbbabbd	12386299
cbbbbabgbbbbbbbbbbbbabbd	12386299
cbbbbagbbbbbbbbbbbbbabbd	12386299
cbbbbfabbbbbbbbbbbbbabbd	12386299
cbbbgaabbbbbbbbbbbbbabbd	12386299
cbbgbaabbbbbbbbbbbbbabbd	12386299
cbgbbaabbbbbbbbbbbbbabbd	12386299
cgbbbaabbbbbbbbbbbbbabbd	12386299
cabbbbaabbbbbbbbbbbbbabbd	12386299
