"Input number 625584772 with intial rewrite term caabababaabaabbababababaaaabaad
Generated final number 80346413 with final rewrite term caabbaabaabbbbbbbabaababbabd
Number of steps: 606  Number of array doubles: 0"
Term	Number
cabbababbebbaaabaabaabbaabd	71419033
cabbababfbbbaaabaabaabbaabd	71419033
cabbabagabbbaaabaabaabbaabd	71419033
cabbabfaabbbaaabaabaabbaabd	71419033
cabbagaaabbbaaabaabaabbaabd	71419033
cabbfaaaabbbaaabaabaabbaabd	71419033
cabgaaaaabbbaaabaabaabbaabd	71419033
cagbaaaaabbbaaabaabaabbaabd	71419033
cfabaaaaabbbaaabaabaabbaabd	71419033
caaabaaaaabbbaaabaabaabbaabd	71419033
caaabaaaaabbbaaabaabaabbebd	53564275
caaabaaaaabbbaaabaabaabfbbd	53564275
caaabaaaaabbbaaabaabaagabbd	53564275
caaabaaaaabbbaaabaabafaabbd	53564275
caaabaaaaabbbaaabaabebaabbd	53564275
caaabaaaaabbbaaabaafbbaabbd	53564275
caaabaaaaabbbaaabaebbbaabbd	53564275
caaabaaaaabbbaaabeabbbaabbd	53564275
caaabaaaaabbbaaafbabbbaabbd	53564275
caaabaaaaabbbaaebbabbbaabbd	53564275
caaabaaaaabbbaeabbabbbaabbd	53564275
caaabaaaaabbbeaabbabbbaabbd	53564275
caaabaaaaabbfbaabbabbbaabbd	53564275
caaabaaaaabgabaabbabbbaabbd	53564275
caaabaaaaagbabaabbabbbaabbd	53564275
caaabaaaafababaabbabbbaabbd	53564275
caaabaaaebababaabbabbbaabbd	53564275
caaabaaeabababaabbabbbaabbd	53564275
caaabaeaabababaabbabbbaabbd	53564275
caaabeaaabababaabbabbbaabbd	53564275
caaafbaaabababaabbabbbaabbd	53564275
caaebbaaabababaabbabbbaabbd	53564275
caeabbaaabababaabbabbbaabbd	53564275
ceaabbaaabababaabbabbbaabbd	53564275
cbaabbaaabababaabbabbbaabbd	53564275
cbaabbaaabababaabbabbbafabd	80346413
cbaabbaaabababaabbabbbebabd	80346413
cbaabbaaabababaabbabbfbbabd	80346413
cbaabbaaabababaabbabgabbabd	80346413
cbaabbaaabababaabbagbabbabd	80346413
cbaabbaaabababaabbfababbabd	80346413
cbaabbaaabababaabgaababbabd	80346413
cbaabbaaabababaagbaababbabd	80346413
cbaabbaaabababafabaababbabd	80346413
cbaabbaaabababebabaababbabd	80346413
cbaabbaaababafbbabaababbabd	80346413
cbaabbaaababebbbabaababbabd	80346413
cbaabbaaabafbbbbabaababbabd	80346413
cbaabbaaabebbbbbabaababbabd	80346413
cbaabbaaafbbbbbbabaababbabd	80346413
cbaabbaaebbbbbbbabaababbabd	80346413
cbaabbaeabbbbbbbabaababbabd	80346413
cbaabbeaabbbbbbbabaababbabd	80346413
cbaabfbaabbbbbbbabaababbabd	80346413
cbaagabaabbbbbbbabaababbabd	80346413
cbafaabaabbbbbbbabaababbabd	80346413
cbebaabaabbbbbbbabaababbabd	80346413
cfbbaabaabbbbbbbabaababbabd	80346413
caabbaabaabbbbbbbabaababbabd	80346413
