"Input number 625584772 with intial rewrite term caabababaabaabbababababaaaabaad
Generated final number 80346413 with final rewrite term caabbaabaabbbbbbbabaababbabd
Number of steps: 606  Number of array doubles: 0"
Term	Number
cabbbbaabfbaabbbabbaabbbaabd	148454201
cabbbbaagabaabbbabbaabbbaabd	148454201
cabbbbafaabaabbbabbaabbbaabd	148454201
cabbbbebaabaabbbabbaabbbaabd	148454201
cabbbfbbaabaabbbabbaabbbaabd	148454201
cabbgabbaabaabbbabbaabbbaabd	148454201
cabgbabbaabaabbbabbaabbbaabd	148454201
cagbbabbaabaabbbabbaabbbaabd	148454201
cfabbabbaabaabbbabbaabbbaabd	148454201
caaabbabbaabaabbbabbaabbbaabd	148454201
caaabbabbaabaabbbabbaabbbebd	111340651
caaabbabbaabaabbbabbaabbfbbd	111340651
caaabbabbaabaabbbabbaabgabbd	111340651
caaabbabbaabaabbbabbaagbabbd	111340651
caaabbabbaabaabbbabbafababbd	111340651
caaabbabbaabaabbbabbebababbd	111340651
caaabbabbaabaabbbabfbbababbd	111340651
caaabbabbaabaabbbagabbababbd	111340651
caaabbabbaabaabbbfaabbababbd	111340651
caaabbabbaabaabbgaaabbababbd	111340651
caaabbabbaabaabgbaaabbababbd	111340651
caaabbabbaabaagbbaaabbababbd	111340651
caaabbabbaabafabbaaabbababbd	111340651
caaabbabbaabebabbaaabbababbd	111340651
caaabbabbaafbbabbaaabbababbd	111340651
caaabbabbaebbbabbaaabbababbd	111340651
caaabbabbeabbbabbaaabbababbd	111340651
caaabbabfbabbbabbaaabbababbd	111340651
caaabbagababbbabbaaabbababbd	111340651
caaabbfaababbbabbaaabbababbd	111340651
caaabgaaababbbabbaaabbababbd	111340651
caaagbaaababbbabbaaabbababbd	111340651
caafabaaababbbabbaaabbababbd	111340651
caebabaaababbbabbaaabbababbd	111340651
ceababaaababbbabbaaabbababbd	111340651
cbababaaababbbabbaaabbababbd	111340651
cbababaaababbbabbaaabbabfabd	167010977
cbababaaababbbabbaaabbagaabd	167010977
cbababaaababbbabbaaabbfaaabd	167010977
cbababaaababbbabbaaabgaaaabd	167010977
cbababaaababbbabbaaagbaaaabd	167010977
cbababaaababbbabbaafabaaaabd	167010977
cbababaaababbbabbaebabaaaabd	167010977
cbababaaababbbabbeababaaaabd	167010977
cbababaaababbbabfbababaaaabd	167010977
cbababaaababbbagabababaaaabd	167010977
cbababaaababbbfaabababaaaabd	167010977
cbababaaababbgaaabababaaaabd	167010977
cbababaaababgbaaabababaaaabd	167010977
cbababaaabagbbaaabababaaaabd	167010977
cbababaaabfabbaaabababaaaabd	167010977
cbababaaagaabbaaabababaaaabd	167010977
cbababaafaaabbaaabababaaaabd	167010977
cbababaebaaabbaaabababaaaabd	167010977
cbababeabaaabbaaabababaaaabd	167010977
cbabafbabaaabbaaabababaaaabd	167010977
cbabebbabaaabbaaabababaaaabd	167010977
cbafbbbabaaabbaaabababaaaabd	167010977
cbebbbbabaaabbaaabababaaaabd	167010977
cfbbbbbabaaabbaaabababaaaabd	167010977
caabbbbbabaaabbaaabababaaaabd	167010977
caabbbbbabaaabbaaabababaaebd	125258233
caabbbbbabaaabbaaabababaeabd	125258233
caabbbbbabaaabbaaabababeaabd	125258233
caabbbbbabaaabbaaababafbaabd	125258233
caabbbbbabaaabbaaababebbaabd	125258233
caabbbbbabaaabbaaabafbbbaabd	125258233
caabbbbbabaaabbaaabebbbbaabd	125258233
caabbbbbabaaabbaaafbbbbbaabd	125258233
caabbbbbabaaabbaaebbbbbbaabd	125258233
caabbbbbabaaabbaeabbbbbbaabd	125258233
caabbbbbabaaabbeaabbbbbbaabd	125258233
caabbbbbabaaabfbaabbbbbbaabd	125258233
caabbbbbabaaagabaabbbbbbaabd	125258233
caabbbbbabaafaabaabbbbbbaabd	125258233
caabbbbbabaebaabaabbbbbbaabd	125258233
caabbbbbabeabaabaabbbbbbaabd	125258233
caabbbbbafbabaabaabbbbbbaabd	125258233
caabbbbbebbabaabaabbbbbbaabd	125258233
caabbbbfbbbabaabaabbbbbbaabd	125258233
caabbbgabbbabaabaabbbbbbaabd	125258233
caabbgbabbbabaabaabbbbbbaabd	125258233
caabgbbabbbabaabaabbbbbbaabd	125258233
caagbbbabbbabaabaabbbbbbaabd	125258233
cafabbbabbbabaabaabbbbbbaabd	125258233
cebabbbabbbabaabaabbbbbbaabd	125258233
cbbabbbabbbabaabaabbbbbbaabd	125258233
cbbabbbabbbabaabaabbbbbbebd	93943675
cbbabbbabbbabaabaabbbbbfbbd	93943675
cbbabbbabbbabaabaabbbbgabbd	93943675
cbbabbbabbbabaabaabbbgbabbd	93943675
cbbabbbabbbabaabaabbgbbabbd	93943675
cbbabbbabbbabaabaabgbbbabbd	93943675
cbbabbbabbbabaabaagbbbbabbd	93943675
cbbabbbabbbabaabafabbbbabbd	93943675
cbbabbbabbbabaabebabbbbabbd	93943675
cbbabbbabbbabaafbbabbbbabbd	93943675
cbbabbbabbbabaebbbabbbbabbd	93943675
cbbabbbabbbabeabbbabbbbabbd	93943675
cbbabbbabbbafbabbbabbbbabbd	93943675
cbbabbbabbbebbabbbabbbbabbd	93943675
cbbabbbabbfbbbabbbabbbbabbd	93943675
cbbabbbabgabbbabbbabbbbabbd	93943675
cbbabbbagbabbbabbbabbbbabbd	93943675
cbbabbbfababbbabbbabbbbabbd	93943675
cbbabbgaababbbabbbabbbbabbd	93943675
cbbabgbaababbbabbbabbbbabbd	93943675
cbbagbbaababbbabbbabbbbabbd	93943675
cbbfabbaababbbabbbabbbbabbd	93943675
cbgaabbaababbbabbbabbbbabbd	93943675
cgbaabbaababbbabbbabbbbabbd	93943675
cabbaabbaababbbabbbabbbbabbd	93943675
cabbaabbaababbbabbbabbbbfabd	140915513
cabbaabbaababbbabbbabbbgaabd	140915513
cabbaabbaababbbabbbabbgbaabd	140915513
cabbaabbaababbbabbbabgbbaabd	140915513
cabbaabbaababbbabbbagbbbaabd	140915513
cabbaabbaababbbabbbfabbbaabd	140915513
cabbaabbaababbbabbgaabbbaabd	140915513
cabbaabbaababbbabgbaabbbaabd	140915513
cabbaabbaababbbagbbaabbbaabd	140915513
cabbaabbaababbbfabbaabbbaabd	140915513
cabbaabbaababbgaabbaabbbaabd	140915513
cabbaabbaababgbaabbaabbbaabd	140915513
cabbaabbaabagbbaabbaabbbaabd	140915513
cabbaabbaabfabbaabbaabbbaabd	140915513
cabbaabbaagaabbaabbaabbbaabd	140915513
cabbaabbafaaabbaabbaabbbaabd	140915513
cabbaabbebaaabbaabbaabbbaabd	140915513
cabbaabfbbaaabbaabbaabbbaabd	140915513
cabbaagabbaaabbaabbaabbbaabd	140915513
cabbafaabbaaabbaabbaabbbaabd	140915513
cabbebaabbaaabbaabbaabbbaabd	140915513
cabfbbaabbaaabbaabbaabbbaabd	140915513
cagabbaabbaaabbaabbaabbbaabd	140915513
cfaabbaabbaaabbaabbaabbbaabd	140915513
caaaabbaabbaaabbaabbaabbbaabd	140915513
caaaabbaabbaaabbaabbaabbbebd	105686635
caaaabbaabbaaabbaabbaabbfbbd	105686635
caaaabbaabbaaabbaabbaabgabbd	105686635
caaaabbaabbaaabbaabbaagbabbd	105686635
caaaabbaabbaaabbaabbafababbd	105686635
caaaabbaabbaaabbaabbebababbd	105686635
caaaabbaabbaaabbaabfbbababbd	105686635
caaaabbaabbaaabbaagabbababbd	105686635
caaaabbaabbaaabbafaabbababbd	105686635
caaaabbaabbaaabbebaabbababbd	105686635
caaaabbaabbaaabfbbaabbababbd	105686635
caaaabbaabbaaagabbaabbababbd	105686635
caaaabbaabbaafaabbaabbababbd	105686635
caaaabbaabbaebaabbaabbababbd	105686635
caaaabbaabbeabaabbaabbababbd	105686635
caaaabbaabfbabaabbaabbababbd	105686635
caaaabbaagababaabbaabbababbd	105686635
caaaabbafaababaabbaabbababbd	105686635
caaaabbebaababaabbaabbababbd	105686635
caaaabfbbaababaabbaabbababbd	105686635
caaaagabbaababaabbaabbababbd	105686635
caaafaabbaababaabbaabbababbd	105686635
caaebaabbaababaabbaabbababbd	105686635
caeabaabbaababaabbaabbababbd	105686635
ceaabaabbaababaabbaabbababbd	105686635
cbaabaabbaababaabbaabbababbd	105686635
cbaabaabbaababaabbaabbabfabd	158529953
cbaabaabbaababaabbaabbagaabd	158529953
cbaabaabbaababaabbaabbfaaabd	158529953
cbaabaabbaababaabbaabgaaaabd	158529953
cbaabaabbaababaabbaagbaaaabd	158529953
cbaabaabbaababaabbafabaaaabd	158529953
cbaabaabbaababaabbebabaaaabd	158529953
cbaabaabbaababaabfbbabaaaabd	158529953
cbaabaabbaababaagabbabaaaabd	158529953
cbaabaabbaababafaabbabaaaabd	158529953
cbaabaabbaababebaabbabaaaabd	158529953
cbaabaabbaabafbbaabbabaaaabd	158529953
cbaabaabbaabebbbaabbabaaaabd	158529953
cbaabaabbaafbbbbaabbabaaaabd	158529953
cbaabaabbaebbbbbaabbabaaaabd	158529953
cbaabaabbeabbbbbaabbabaaaabd	158529953
cbaabaabfbabbbbbaabbabaaaabd	158529953
cbaabaagababbbbbaabbabaaaabd	158529953
cbaabafaababbbbbaabbabaaaabd	158529953
cbaabebaababbbbbaabbabaaaabd	158529953
cbaafbbaababbbbbaabbabaaaabd	158529953
cbaebbbaababbbbbaabbabaaaabd	158529953
cbeabbbaababbbbbaabbabaaaabd	158529953
cfbabbbaababbbbbaabbabaaaabd	158529953
caababbbaababbbbbaabbabaaaabd	158529953
caababbbaababbbbbaabbabaaebd	118897465
caababbbaababbbbbaabbabaeabd	118897465
caababbbaababbbbbaabbabeaabd	118897465
caababbbaababbbbbaabbafbaabd	118897465
caababbbaababbbbbaabbebbaabd	118897465
caababbbaababbbbbaabfbbbaabd	118897465
caababbbaababbbbbaagabbbaabd	118897465
caababbbaababbbbbafaabbbaabd	118897465
caababbbaababbbbbebaabbbaabd	118897465
caababbbaababbbbfbbaabbbaabd	118897465
caababbbaababbbgabbaabbbaabd	118897465
caababbbaababbgbabbaabbbaabd	118897465
caababbbaababgbbabbaabbbaabd	118897465
caababbbaabagbbbabbaabbbaabd	118897465
caababbbaabfabbbabbaabbbaabd	118897465
caababbbaagaabbbabbaabbbaabd	118897465
caababbbafaaabbbabbaabbbaabd	118897465
caababbbebaaabbbabbaabbbaabd	118897465
caababbfbbaaabbbabbaabbbaabd	118897465
caababgabbaaabbbabbaabbbaabd	118897465
caabagbabbaaabbbabbaabbbaabd	118897465
caabfababbaaabbbabbaabbbaabd	118897465
caagaababbaaabbbabbaabbbaabd	118897465
cafaaababbaaabbbabbaabbbaabd	118897465
cebaaababbaaabbbabbaabbbaabd	118897465
cbbaaababbaaabbbabbaabbbaabd	118897465
cbbaaababbaaabbbabbaabbbebd	89173099
cbbaaababbaaabbbabbaabbfbbd	89173099
cbbaaababbaaabbbabbaabgabbd	89173099
cbbaaababbaaabbbabbaagbabbd	89173099
cbbaaababbaaabbbabbafababbd	89173099
cbbaaababbaaabbbabbebababbd	89173099
cbbaaababbaaabbbabfbbababbd	89173099
cbbaaababbaaabbbagabbababbd	89173099
cbbaaababbaaabbbfaabbababbd	89173099
cbbaaababbaaabbgaaabbababbd	89173099
cbbaaababbaaabgbaaabbababbd	89173099
cbbaaababbaaagbbaaabbababbd	89173099
cbbaaababbaafabbaaabbababbd	89173099
cbbaaababbaebabbaaabbababbd	89173099
cbbaaababbeababbaaabbababbd	89173099
cbbaaababfbababbaaabbababbd	89173099
cbbaaabagabababbaaabbababbd	89173099
cbbaaabfaabababbaaabbababbd	89173099
cbbaaagaaabababbaaabbababbd	89173099
cbbaafaaaabababbaaabbababbd	89173099
cbbaebaaaabababbaaabbababbd	89173099
cbbeabaaaabababbaaabbababbd	89173099
cbfbabaaaabababbaaabbababbd	89173099
cgababaaaabababbaaabbababbd	89173099
cabababaaaabababbaaabbababbd	89173099
cabababaaaabababbaaabbabfabd	133759649
cabababaaaabababbaaabbagaabd	133759649
cabababaaaabababbaaabbfaaabd	133759649
cabababaaaabababbaaabgaaaabd	133759649
cabababaaaabababbaaagbaaaabd	133759649
cabababaaaabababbaafabaaaabd	133759649
cabababaaaabababbaebabaaaabd	133759649
cabababaaaabababbeababaaaabd	133759649
cabababaaaabababfbababaaaabd	133759649
cabababaaaababagabababaaaabd	133759649
cabababaaaababfaabababaaaabd	133759649
cabababaaaabagaaabababaaaabd	133759649
cabababaaaabfaaaabababaaaabd	133759649
cabababaaaagaaaaabababaaaabd	133759649
cabababaaafaaaaaabababaaaabd	133759649
cabababaaebaaaaaabababaaaabd	133759649
cabababaeabaaaaaabababaaaabd	133759649
cabababeaabaaaaaabababaaaabd	133759649
cababafbaabaaaaaabababaaaabd	133759649
cababebbaabaaaaaabababaaaabd	133759649
cabafbbbaabaaaaaabababaaaabd	133759649
cabebbbbaabaaaaaabababaaaabd	133759649
cafbbbbbaabaaaaaabababaaaabd	133759649
cebbbbbbaabaaaaaabababaaaabd	133759649
cbbbbbbbaabaaaaaabababaaaabd	133759649
cbbbbbbbaabaaaaaabababaaebd	100319737
cbbbbbbbaabaaaaaabababaeabd	100319737
cbbbbbbbaabaaaaaabababeaabd	100319737
cbbbbbbbaabaaaaaababafbaabd	100319737
cbbbbbbbaabaaaaaababebbaabd	100319737
cbbbbbbbaabaaaaaabafbbbaabd	100319737
cbbbbbbbaabaaaaaabebbbbaabd	100319737
cbbbbbbbaabaaaaaafbbbbbaabd	100319737
cbbbbbbbaabaaaaaebbbbbbaabd	100319737
cbbbbbbbaabaaaaeabbbbbbaabd	100319737
cbbbbbbbaabaaaeaabbbbbbaabd	100319737
