"Input number 10325344 with intial rewrite term caabbbabbaaabbababbaaaaad
Generated final number 87319 with final rewrite term cababababaaababbbd
Number of steps: 321  Number of array doubles: 0"
Term	Number
cagbbabbbbbabababbd	290731
cfabbabbbbbabababbd	290731
caaabbabbbbbabababbd	290731
caaabbabbbbbababfabd	436097
caaabbabbbbbabagaabd	436097
caaabbabbbbbabfaaabd	436097
caaabbabbbbbagaaaabd	436097
caaabbabbbbbfaaaaabd	436097
caaabbabbbbgaaaaaabd	436097
caaabbabbbgbaaaaaabd	436097
caaabbabbgbbaaaaaabd	436097
caaabbabgbbbaaaaaabd	436097
caaabbagbbbbaaaaaabd	436097
caaabbfabbbbaaaaaabd	436097
caaabgaabbbbaaaaaabd	436097
caaagbaabbbbaaaaaabd	436097
caafabaabbbbaaaaaabd	436097
caebabaabbbbaaaaaabd	436097
ceababaabbbbaaaaaabd	436097
cbababaabbbbaaaaaabd	436097
cbababaabbbbaaaaebd	327073
cbababaabbbbaaaeabd	327073
cbababaabbbbaaeaabd	327073
cbababaabbbbaeaaabd	327073
cbababaabbbbeaaaabd	327073
cbababaabbbfbaaaabd	327073
cbababaabbgabaaaabd	327073
cbababaabgbabaaaabd	327073
cbababaagbbabaaaabd	327073
cbababafabbabaaaabd	327073
cbababebabbabaaaabd	327073
cbabafbbabbabaaaabd	327073
cbabebbbabbabaaaabd	327073
cbafbbbbabbabaaaabd	327073
cbebbbbbabbabaaaabd	327073
cfbbbbbbabbabaaaabd	327073
caabbbbbbabbabaaaabd	327073
caabbbbbbabbabaaebd	245305
caabbbbbbabbabaeabd	245305
caabbbbbbabbabeaabd	245305
caabbbbbbabbafbaabd	245305
caabbbbbbabbebbaabd	245305
caabbbbbbabfbbbaabd	245305
caabbbbbbagabbbaabd	245305
caabbbbbbfaabbbaabd	245305
caabbbbbgaaabbbaabd	245305
caabbbbgbaaabbbaabd	245305
caabbbgbbaaabbbaabd	245305
caabbgbbbaaabbbaabd	245305
caabgbbbbaaabbbaabd	245305
caagbbbbbaaabbbaabd	245305
cafabbbbbaaabbbaabd	245305
cebabbbbbaaabbbaabd	245305
cbbabbbbbaaabbbaabd	245305
cbbabbbbbaaabbbebd	183979
cbbabbbbbaaabbfbbd	183979
cbbabbbbbaaabgabbd	183979
cbbabbbbbaaagbabbd	183979
cbbabbbbbaafababbd	183979
cbbabbbbbaebababbd	183979
cbbabbbbbeabababbd	183979
cbbabbbbfbabababbd	183979
cbbabbbgababababbd	183979
cbbabbgbababababbd	183979
cbbabgbbababababbd	183979
cbbagbbbababababbd	183979
cbbfabbbababababbd	183979
cbgaabbbababababbd	183979
cgbaabbbababababbd	183979
cabbaabbbababababbd	183979
cabbaabbbabababfabd	275969
cabbaabbbababagaabd	275969
cabbaabbbababfaaabd	275969
cabbaabbbabagaaaabd	275969
cabbaabbbabfaaaaabd	275969
cabbaabbbagaaaaaabd	275969
cabbaabbbfaaaaaaabd	275969
cabbaabbgaaaaaaaabd	275969
cabbaabgbaaaaaaaabd	275969
cabbaagbbaaaaaaaabd	275969
cabbafabbaaaaaaaabd	275969
cabbebabbaaaaaaaabd	275969
cabfbbabbaaaaaaaabd	275969
cagabbabbaaaaaaaabd	275969
cfaabbabbaaaaaaaabd	275969
caaaabbabbaaaaaaaabd	275969
caaaabbabbaaaaaaebd	206977
caaaabbabbaaaaaeabd	206977
caaaabbabbaaaaeaabd	206977
caaaabbabbaaaeaaabd	206977
caaaabbabbaaeaaaabd	206977
caaaabbabbaeaaaaabd	206977
caaaabbabbeaaaaaabd	206977
caaaabbabfbaaaaaabd	206977
caaaabbagabaaaaaabd	206977
caaaabbfaabaaaaaabd	206977
caaaabgaaabaaaaaabd	206977
caaaagbaaabaaaaaabd	206977
caaafabaaabaaaaaabd	206977
caaebabaaabaaaaaabd	206977
caeababaaabaaaaaabd	206977
ceaababaaabaaaaaabd	206977
cbaababaaabaaaaaabd	206977
cbaababaaabaaaaebd	155233
cbaababaaabaaaeabd	155233
cbaababaaabaaeaabd	155233
cbaababaaabaeaaabd	155233
cbaababaaabeaaaabd	155233
cbaababaaafbaaaabd	155233
cbaababaaebbaaaabd	155233
cbaababaeabbaaaabd	155233
cbaababeaabbaaaabd	155233
cbaabafbaabbaaaabd	155233
cbaabebbaabbaaaabd	155233
cbaafbbbaabbaaaabd	155233
cbaebbbbaabbaaaabd	155233
cbeabbbbaabbaaaabd	155233
cfbabbbbaabbaaaabd	155233
caababbbbaabbaaaabd	155233
caababbbbaabbaaebd	116425
caababbbbaabbaeabd	116425
caababbbbaabbeaabd	116425
caababbbbaabfbaabd	116425
caababbbbaagabaabd	116425
caababbbbafaabaabd	116425
caababbbbebaabaabd	116425
caababbbfbbaabaabd	116425
caababbgabbaabaabd	116425
caababgbabbaabaabd	116425
caabagbbabbaabaabd	116425
caabfabbabbaabaabd	116425
caagaabbabbaabaabd	116425
cafaaabbabbaabaabd	116425
cebaaabbabbaabaabd	116425
cbbaaabbabbaabaabd	116425
cbbaaabbabbaabebd	87319
cbbaaabbabbaafbbd	87319
cbbaaabbabbaebbbd	87319
cbbaaabbabbeabbbd	87319
cbbaaabbabfbabbbd	87319
cbbaaabbagababbbd	87319
cbbaaabbfaababbbd	87319
cbbaaabgaaababbbd	87319
cbbaaagbaaababbbd	87319
cbbaafabaaababbbd	87319
cbbaebabaaababbbd	87319
cbbeababaaababbbd	87319
cbfbababaaababbbd	87319
cgabababaaababbbd	87319
cababababaaababbbd	87319
