"Input number 2911471 with intial rewrite term cabbaaabbabbaabbbabbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 691  Number of array doubles: 0"
Term	Number
cbaaabgbbbabbbbbababaabd	9826217
cbaaagbbbbabbbbbababaabd	9826217
cbaafabbbbabbbbbababaabd	9826217
cbaebabbbbabbbbbababaabd	9826217
cbeababbbbabbbbbababaabd	9826217
cfbababbbbabbbbbababaabd	9826217
caabababbbbabbbbbababaabd	9826217
caabababbbbabbbbbababebd	7369663
caabababbbbabbbbbabafbbd	7369663
caabababbbbabbbbbabebbbd	7369663
caabababbbbabbbbbafbbbbd	7369663
caabababbbbabbbbbebbbbbd	7369663
caabababbbbabbbbfbbbbbbd	7369663
caabababbbbabbbgabbbbbbd	7369663
caabababbbbabbgbabbbbbbd	7369663
caabababbbbabgbbabbbbbbd	7369663
caabababbbbagbbbabbbbbbd	7369663
caabababbbbfabbbabbbbbbd	7369663
caabababbbgaabbbabbbbbbd	7369663
caabababbgbaabbbabbbbbbd	7369663
caabababgbbaabbbabbbbbbd	7369663
caababagbbbaabbbabbbbbbd	7369663
caababfabbbaabbbabbbbbbd	7369663
caabagaabbbaabbbabbbbbbd	7369663
caabfaaabbbaabbbabbbbbbd	7369663
caagaaaabbbaabbbabbbbbbd	7369663
cafaaaaabbbaabbbabbbbbbd	7369663
cebaaaaabbbaabbbabbbbbbd	7369663
cbbaaaaabbbaabbbabbbbbbd	7369663
cbbaaaaabbbaabbbabbbgbbd	11054495
cbbaaaaabbbaabbbabbgbbbd	11054495
cbbaaaaabbbaabbbabgbbbbd	11054495
cbbaaaaabbbaabbbagbbbbbd	11054495
cbbaaaaabbbaabbbfabbbbbd	11054495
cbbaaaaabbbaabbgaabbbbbd	11054495
cbbaaaaabbbaabgbaabbbbbd	11054495
cbbaaaaabbbaagbbaabbbbbd	11054495
cbbaaaaabbbafabbaabbbbbd	11054495
cbbaaaaabbbebabbaabbbbbd	11054495
cbbaaaaabbfbbabbaabbbbbd	11054495
cbbaaaaabgabbabbaabbbbbd	11054495
cbbaaaaagbabbabbaabbbbbd	11054495
cbbaaaafababbabbaabbbbbd	11054495
cbbaaaebababbabbaabbbbbd	11054495
cbbaaeabababbabbaabbbbbd	11054495
cbbaeaabababbabbaabbbbbd	11054495
cbbeaaabababbabbaabbbbbd	11054495
cbfbaaabababbabbaabbbbbd	11054495
cgabaaabababbabbaabbbbbd	11054495
cababaaabababbabbaabbbbbd	11054495
cababaaabababbabbaabbgbbd	16581743
cababaaabababbabbaabgbbbd	16581743
cababaaabababbabbaagbbbbd	16581743
cababaaabababbabbafabbbbd	16581743
