"Input number 12351 with intial rewrite term cbaaaaaabbbbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 481  Number of array doubles: 0"
Term	Number
caaababbabbbd	2231
caaababbagbbd	3347
caaababbfabbd	3347
caaababgaabbd	3347
caaabagbaabbd	3347
caaabfabaabbd	3347
caaagaabaabbd	3347
caafaaabaabbd	3347
caebaaabaabbd	3347
ceabaaabaabbd	3347
cbabaaabaabbd	3347
cbabaaabafabd	5021
cbabaaabebabd	5021
cbabaaafbbabd	5021
cbabaaebbbabd	5021
cbabaeabbbabd	5021
cbabeaabbbabd	5021
cbafbaabbbabd	5021
cbebbaabbbabd	5021
cfbbbaabbbabd	5021
caabbbaabbbabd	5021
caabbbaabbgd	1883
caabbbaabgbd	1883
caabbbaagbbd	1883
caabbbafabbd	1883
caabbbebabbd	1883
caabbfbbabbd	1883
caabgabbabbd	1883
caagbabbabbd	1883
cafababbabbd	1883
cebababbabbd	1883
cbbababbabbd	1883
cbbababbfabd	2825
cbbababgaabd	2825
cbbabagbaabd	2825
cbbabfabaabd	2825
cbbagaabaabd	2825
cbbfaaabaabd	2825
cbgaaaabaabd	2825
cgbaaaabaabd	2825
cabbaaaabaabd	2825
cabbaaaabebd	2119
cabbaaaafbbd	2119
cabbaaaebbbd	2119
cabbaaeabbbd	2119
cabbaeaabbbd	2119
cabbeaaabbbd	2119
cabfbaaabbbd	2119
cagabaaabbbd	2119
cfaabaaabbbd	2119
caaaabaaabbbd	2119
caaaabaaagbbd	3179
caaaabaafabbd	3179
caaaabaebabbd	3179
caaaabeababbd	3179
caaaafbababbd	3179
caaaebbababbd	3179
caaeabbababbd	3179
caeaabbababbd	3179
ceaaabbababbd	3179
cbaaabbababbd	3179
cbaaabbabfabd	4769
cbaaabbagaabd	4769
cbaaabbfaaabd	4769
cbaaabgaaaabd	4769
cbaaagbaaaabd	4769
cbaafabaaaabd	4769
cbaebabaaaabd	4769
cbeababaaaabd	4769
cfbababaaaabd	4769
caabababaaaabd	4769
caabababaaebd	3577
caabababaeabd	3577
caabababeaabd	3577
caababafbaabd	3577
caababebbaabd	3577
caabafbbbaabd	3577
caabebbbbaabd	3577
caafbbbbbaabd	3577
caebbbbbbaabd	3577
ceabbbbbbaabd	3577
cbabbbbbbaabd	3577
cbabbbbbbebd	2683
cbabbbbbfbbd	2683
cbabbbbgabbd	2683
cbabbbgbabbd	2683
