"Input number 63183 with intial rewrite term cbbbabbabbaabbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 270  Number of array doubles: 0"
Term	Number
caaaaabbbbaabaaaabbd	269891
caaaaabbbbaabaaafabd	404837
caaaaabbbbaabaaebabd	404837
caaaaabbbbaabaeababd	404837
caaaaabbbbaabeaababd	404837
caaaaabbbbaafbaababd	404837
caaaaabbbbaebbaababd	404837
caaaaabbbbeabbaababd	404837
caaaaabbbfbabbaababd	404837
caaaaabbgababbaababd	404837
caaaaabgbababbaababd	404837
caaaaagbbababbaababd	404837
caaaafabbababbaababd	404837
caaaebabbababbaababd	404837
caaeababbababbaababd	404837
caeaababbababbaababd	404837
ceaaababbababbaababd	404837
cbaaababbababbaababd	404837
cbaaababbababbaagd	151814
cbaaababbababbafad	151814
cbaaababbababbebad	151814
cbaaababbababfbbad	151814
cbaaababbabagabbad	151814
cbaaababbabfaabbad	151814
cbaaababbagaaabbad	151814
cbaaababbfaaaabbad	151814
cbaaababgaaaaabbad	151814
cbaaabagbaaaaabbad	151814
cbaaabfabaaaaabbad	151814
cbaaagaabaaaaabbad	151814
cbaafaaabaaaaabbad	151814
cbaebaaabaaaaabbad	151814
cbeabaaabaaaaabbad	151814
cfbabaaabaaaaabbad	151814
caababaaabaaaaabbad	151814
caababaaabaaaaabbd	75907
caababaaabaaaafabd	113861
caababaaabaaaebabd	113861
caababaaabaaeababd	113861
caababaaabaeaababd	113861
caababaaabeaaababd	113861
caababaaafbaaababd	113861
caababaaebbaaababd	113861
caababaeabbaaababd	113861
caababeaabbaaababd	113861
caabafbaabbaaababd	113861
caabebbaabbaaababd	113861
caafbbbaabbaaababd	113861
caebbbbaabbaaababd	113861
ceabbbbaabbaaababd	113861
cbabbbbaabbaaababd	113861
cbabbbbaabbaaagd	42698
cbabbbbaabbaafad	42698
cbabbbbaabbaebad	42698
cbabbbbaabbeabad	42698
cbabbbbaabfbabad	42698
cbabbbbaagababad	42698
cbabbbbafaababad	42698
cbabbbbebaababad	42698
cbabbbfbbaababad	42698
cbabbgabbaababad	42698
cbabgbabbaababad	42698
cbagbbabbaababad	42698
cbfabbabbaababad	42698
cgaabbabbaababad	42698
cabaabbabbaababad	42698
cabaabbabbaababd	21349
cabaabbabbaagd	8006
cabaabbabbafad	8006
cabaabbabbebad	8006
cabaabbabfbbad	8006
cabaabbagabbad	8006
cabaabbfaabbad	8006
cabaabgaaabbad	8006
cabaagbaaabbad	8006
cabafabaaabbad	8006
cabebabaaabbad	8006
cafbbabaaabbad	8006
cebbbabaaabbad	8006
cbbbbabaaabbad	8006
cbbbbabaaabbd	4003
cbbbbabaafabd	6005
cbbbbabaebabd	6005
cbbbbabeababd	6005
cbbbbafbababd	6005
cbbbbebbababd	6005
cbbbfbbbababd	6005
cbbgabbbababd	6005
cbgbabbbababd	6005
cgbbabbbababd	6005
cabbbabbbababd	6005
cabbbabbbagd	2252
cabbbabbbfad	2252
cabbbabbgaad	2252
cabbbabgbaad	2252
cabbbagbbaad	2252
cabbbfabbaad	2252
cabbgaabbaad	2252
cabgbaabbaad	2252
cagbbaabbaad	2252
cfabbaabbaad	2252
caaabbaabbaad	2252
caaabbaabbad	1126
caaabbaabbd	563
caaabbafabd	845
caaabbebabd	845
caaabfbbabd	845
caaagabbabd	845
caafaabbabd	845
caebaabbabd	845
ceabaabbabd	845
cbabaabbabd	845
cbabaabgd	317
cbabaagbd	317
cbabafabd	317
cbabebabd	317
cbafbbabd	317
cbebbbabd	317
cfbbbbabd	317
caabbbbabd	317
caabbbgd	119
caabbgbd	119
caabgbbd	119
caagbbbd	119
cafabbbd	119
cebabbbd	119
cbbabbbd	119
cbbagbbd	179
cbbfabbd	179
cbgaabbd	179
cgbaabbd	179
cabbaabbd	179
cabbafabd	269
cabbebabd	269
cabfbbabd	269
cagabbabd	269
cfaabbabd	269
caaaabbabd	269
caaaabgd	101
caaaagbd	101
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaagd	38
cbafad	38
cbebad	38
cfbbad	38
caabbad	38
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbgd	11
cgbd	11
cabbd	11
cfabd	17
caaabd	17
caebd	13
ceabd	13
cbabd	13
cgd	5
cabd	5
