"Input number 113383 with intial rewrite term cbabbbababbbaabbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 1668  Number of array doubles: 1"
Term	Number
cbaaabbbbaaabaaabaabbd	1634579
cbaaabbbbaaabaaabafabd	2451869
cbaaabbbbaaabaaabebabd	2451869
cbaaabbbbaaabaaafbbabd	2451869
cbaaabbbbaaabaaebbbabd	2451869
cbaaabbbbaaabaeabbbabd	2451869
cbaaabbbbaaabeaabbbabd	2451869
cbaaabbbbaaafbaabbbabd	2451869
cbaaabbbbaaebbaabbbabd	2451869
cbaaabbbbaeabbaabbbabd	2451869
cbaaabbbbeaabbaabbbabd	2451869
cbaaabbbfbaabbaabbbabd	2451869
cbaaabbgabaabbaabbbabd	2451869
cbaaabgbabaabbaabbbabd	2451869
cbaaagbbabaabbaabbbabd	2451869
cbaafabbabaabbaabbbabd	2451869
cbaebabbabaabbaabbbabd	2451869
cbeababbabaabbaabbbabd	2451869
cfbababbabaabbaabbbabd	2451869
caabababbabaabbaabbbabd	2451869
caabababbabaabbaabbgd	919451
caabababbabaabbaabgbd	919451
caabababbabaabbaagbbd	919451
caabababbabaabbafabbd	919451
caabababbabaabbebabbd	919451
caabababbabaabfbbabbd	919451
caabababbabaagabbabbd	919451
caabababbabafaabbabbd	919451
caabababbabebaabbabbd	919451
caabababbafbbaabbabbd	919451
caabababbebbbaabbabbd	919451
caabababfbbbbaabbabbd	919451
caababagabbbbaabbabbd	919451
caababfaabbbbaabbabbd	919451
caabagaaabbbbaabbabbd	919451
caabfaaaabbbbaabbabbd	919451
caagaaaaabbbbaabbabbd	919451
cafaaaaaabbbbaabbabbd	919451
cebaaaaaabbbbaabbabbd	919451
cbbaaaaaabbbbaabbabbd	919451
cbbaaaaaabbbbaabbfabd	1379177
cbbaaaaaabbbbaabgaabd	1379177
cbbaaaaaabbbbaagbaabd	1379177
cbbaaaaaabbbbafabaabd	1379177
cbbaaaaaabbbbebabaabd	1379177
cbbaaaaaabbbfbbabaabd	1379177
cbbaaaaaabbgabbabaabd	1379177
cbbaaaaaabgbabbabaabd	1379177
cbbaaaaaagbbabbabaabd	1379177
cbbaaaaafabbabbabaabd	1379177
cbbaaaaebabbabbabaabd	1379177
cbbaaaeababbabbabaabd	1379177
cbbaaeaababbabbabaabd	1379177
cbbaeaaababbabbabaabd	1379177
cbbeaaaababbabbabaabd	1379177
cbfbaaaababbabbabaabd	1379177
cgabaaaababbabbabaabd	1379177
cababaaaababbabbabaabd	1379177
cababaaaababbabbabebd	1034383
cababaaaababbabbafbbd	1034383
cababaaaababbabbebbbd	1034383
cababaaaababbabfbbbbd	1034383
cababaaaababbagabbbbd	1034383
cababaaaababbfaabbbbd	1034383
cababaaaababgaaabbbbd	1034383
cababaaaabagbaaabbbbd	1034383
cababaaaabfabaaabbbbd	1034383
cababaaaagaabaaabbbbd	1034383
cababaaafaaabaaabbbbd	1034383
cababaaebaaabaaabbbbd	1034383
cababaeabaaabaaabbbbd	1034383
cababeaabaaabaaabbbbd	1034383
cabafbaabaaabaaabbbbd	1034383
cabebbaabaaabaaabbbbd	1034383
cafbbbaabaaabaaabbbbd	1034383
cebbbbaabaaabaaabbbbd	1034383
cbbbbbaabaaabaaabbbbd	1034383
cbbbbbaabaaabaaabgbbd	1551575
cbbbbbaabaaabaaagbbbd	1551575
cbbbbbaabaaabaafabbbd	1551575
cbbbbbaabaaabaebabbbd	1551575
cbbbbbaabaaabeababbbd	1551575
cbbbbbaabaaafbababbbd	1551575
cbbbbbaabaaebbababbbd	1551575
cbbbbbaabaeabbababbbd	1551575
cbbbbbaabeaabbababbbd	1551575
cbbbbbaafbaabbababbbd	1551575
cbbbbbaebbaabbababbbd	1551575
cbbbbbeabbaabbababbbd	1551575
cbbbbfbabbaabbababbbd	1551575
cbbbgababbaabbababbbd	1551575
cbbgbababbaabbababbbd	1551575
cbgbbababbaabbababbbd	1551575
