Input Number	Final Number	Number of rewrite steps	Number of array doubles
16	1	4	0
22	13	11	0
28	13	15	0
82	445	127	0
328	445	129	0
1312	445	131	0
3748	32525	254	0
4996	32525	266	0
13774	2038405	462	0
18364	2038405	476	0
24484	2038405	490	0
32644	2038405	504	0
95734	40337621	646	0
10473136	620527837	855	0
7451656	496695277	905	0
1671382	41777693	850	0
2063614	6692535845	1382	0
2751484	6692535845	1403	0
3668644	6692535845	1424	0
9124174	106646868445	1784	0
36496696	106646868445	1786	0
145986784	106646868445	1788	0
583947136	106646868445	1790	0
959414494	471412148906647493	3207	0
1137083842	471412148906647493	3297	0
4548335368	471412148906647493	3299	0
