"Input number 18364 with intial rewrite term caaabbbbabbbbaad
Generated final number 2038405 with final rewrite term cbbbbaaabbababaaaababd
Number of steps: 476  Number of array doubles: 0"
Term	Number
cabbfbaaaababaabbbd	282791
cabgabaaaababaabbbd	282791
cagbabaaaababaabbbd	282791
cfababaaaababaabbbd	282791
caaababaaaababaabbbd	282791
caaababaaaababaabbgd	424187
caaababaaaababaabgbd	424187
caaababaaaababaagbbd	424187
caaababaaaababafabbd	424187
caaababaaaababebabbd	424187
caaababaaaabafbbabbd	424187
caaababaaaabebbbabbd	424187
caaababaaaafbbbbabbd	424187
caaababaaaebbbbbabbd	424187
caaababaaeabbbbbabbd	424187
caaababaeaabbbbbabbd	424187
caaababeaaabbbbbabbd	424187
caaabafbaaabbbbbabbd	424187
caaabebbaaabbbbbabbd	424187
caaafbbbaaabbbbbabbd	424187
caaebbbbaaabbbbbabbd	424187
caeabbbbaaabbbbbabbd	424187
ceaabbbbaaabbbbbabbd	424187
cbaabbbbaaabbbbbabbd	424187
cbaabbbbaaabbbbbabgd	636281
cbaabbbbaaabbbbbagbd	636281
cbaabbbbaaabbbbbfabd	636281
cbaabbbbaaabbbbgaabd	636281
cbaabbbbaaabbbgbaabd	636281
cbaabbbbaaabbgbbaabd	636281
cbaabbbbaaabgbbbaabd	636281
cbaabbbbaaagbbbbaabd	636281
cbaabbbbaafabbbbaabd	636281
cbaabbbbaebabbbbaabd	636281
cbaabbbbeababbbbaabd	636281
cbaabbbfbababbbbaabd	636281
cbaabbgabababbbbaabd	636281
cbaabgbabababbbbaabd	636281
cbaagbbabababbbbaabd	636281
cbafabbabababbbbaabd	636281
cbebabbabababbbbaabd	636281
cfbbabbabababbbbaabd	636281
caabbabbabababbbbaabd	636281
caabbabbabababbbbaagd	954422
caabbabbabababbbbafad	954422
caabbabbabababbbbebad	954422
caabbabbabababbbfbbad	954422
caabbabbabababbgabbad	954422
caabbabbabababgbabbad	954422
caabbabbababagbbabbad	954422
caabbabbababfabbabbad	954422
caabbabbabagaabbabbad	954422
caabbabbabfaaabbabbad	954422
caabbabbagaaaabbabbad	954422
caabbabbfaaaaabbabbad	954422
caabbabgaaaaaabbabbad	954422
caabbagbaaaaaabbabbad	954422
caabbfabaaaaaabbabbad	954422
caabgaabaaaaaabbabbad	954422
caagbaabaaaaaabbabbad	954422
cafabaabaaaaaabbabbad	954422
cebabaabaaaaaabbabbad	954422
cbbabaabaaaaaabbabbad	954422
cbbabaabaaaaaabbabbd	477211
cbbabaabaaaaaabbabgd	715817
cbbabaabaaaaaabbagbd	715817
