"Input number 95734 with intial rewrite term cabbbababbbbbabbad
Generated final number 40337621 with final rewrite term caabbaabbbbaaaaaaabbabababd
Number of steps: 646  Number of array doubles: 0"
Term	Number
cababeaababbbaaaabd	258785
cabafbaababbbaaaabd	258785
cabebbaababbbaaaabd	258785
cafbbbaababbbaaaabd	258785
cebbbbaababbbaaaabd	258785
cbbbbbaababbbaaaabd	258785
cbbbbbaababbbaaaagd	388178
cbbbbbaababbbaaafad	388178
cbbbbbaababbbaaebad	388178
cbbbbbaababbbaeabad	388178
cbbbbbaababbbeaabad	388178
cbbbbbaababbfbaabad	388178
cbbbbbaababgabaabad	388178
cbbbbbaabagbabaabad	388178
cbbbbbaabfababaabad	388178
cbbbbbaagaababaabad	388178
cbbbbbafaaababaabad	388178
cbbbbbebaaababaabad	388178
cbbbbfbbaaababaabad	388178
cbbbgabbaaababaabad	388178
cbbgbabbaaababaabad	388178
cbgbbabbaaababaabad	388178
cgbbbabbaaababaabad	388178
cabbbbabbaaababaabad	388178
cabbbbabbaaababaabd	194089
cabbbbabbaaababaagd	291134
cabbbbabbaaababafad	291134
cabbbbabbaaababebad	291134
cabbbbabbaaabafbbad	291134
cabbbbabbaaabebbbad	291134
cabbbbabbaaafbbbbad	291134
cabbbbabbaaebbbbbad	291134
cabbbbabbaeabbbbbad	291134
cabbbbabbeaabbbbbad	291134
cabbbbabfbaabbbbbad	291134
cabbbbagabaabbbbbad	291134
cabbbbfaabaabbbbbad	291134
cabbbgaaabaabbbbbad	291134
cabbgbaaabaabbbbbad	291134
cabgbbaaabaabbbbbad	291134
cagbbbaaabaabbbbbad	291134
cfabbbaaabaabbbbbad	291134
caaabbbaaabaabbbbbad	291134
caaabbbaaabaabbbbbd	145567
caaabbbaaabaabbbbgd	218351
caaabbbaaabaabbbgbd	218351
caaabbbaaabaabbgbbd	218351
caaabbbaaabaabgbbbd	218351
caaabbbaaabaagbbbbd	218351
caaabbbaaabafabbbbd	218351
caaabbbaaabebabbbbd	218351
caaabbbaaafbbabbbbd	218351
caaabbbaaebbbabbbbd	218351
caaabbbaeabbbabbbbd	218351
caaabbbeaabbbabbbbd	218351
caaabbfbaabbbabbbbd	218351
caaabgabaabbbabbbbd	218351
caaagbabaabbbabbbbd	218351
caafababaabbbabbbbd	218351
caebababaabbbabbbbd	218351
ceabababaabbbabbbbd	218351
cbabababaabbbabbbbd	218351
cbabababaabbbabbbgd	327527
cbabababaabbbabbgbd	327527
cbabababaabbbabgbbd	327527
cbabababaabbbagbbbd	327527
cbabababaabbbfabbbd	327527
cbabababaabbgaabbbd	327527
cbabababaabgbaabbbd	327527
cbabababaagbbaabbbd	327527
cbabababafabbaabbbd	327527
cbabababebabbaabbbd	327527
cbababafbbabbaabbbd	327527
cbababebbbabbaabbbd	327527
cbabafbbbbabbaabbbd	327527
cbabebbbbbabbaabbbd	327527
cbafbbbbbbabbaabbbd	327527
cbebbbbbbbabbaabbbd	327527
cfbbbbbbbbabbaabbbd	327527
caabbbbbbbbabbaabbbd	327527
caabbbbbbbbabbaabbgd	491291
caabbbbbbbbabbaabgbd	491291
caabbbbbbbbabbaagbbd	491291
caabbbbbbbbabbafabbd	491291
caabbbbbbbbabbebabbd	491291
caabbbbbbbbabfbbabbd	491291
caabbbbbbbbagabbabbd	491291
caabbbbbbbbfaabbabbd	491291
caabbbbbbbgaaabbabbd	491291
caabbbbbbgbaaabbabbd	491291
caabbbbbgbbaaabbabbd	491291
caabbbbgbbbaaabbabbd	491291
caabbbgbbbbaaabbabbd	491291
caabbgbbbbbaaabbabbd	491291
caabgbbbbbbaaabbabbd	491291
caagbbbbbbbaaabbabbd	491291
cafabbbbbbbaaabbabbd	491291
cebabbbbbbbaaabbabbd	491291
cbbabbbbbbbaaabbabbd	491291
cbbabbbbbbbaaabbabgd	736937
cbbabbbbbbbaaabbagbd	736937
cbbabbbbbbbaaabbfabd	736937
cbbabbbbbbbaaabgaabd	736937
cbbabbbbbbbaaagbaabd	736937
cbbabbbbbbbaafabaabd	736937
cbbabbbbbbbaebabaabd	736937
cbbabbbbbbbeababaabd	736937
cbbabbbbbbfbababaabd	736937
cbbabbbbbgabababaabd	736937
cbbabbbbgbabababaabd	736937
cbbabbbgbbabababaabd	736937
cbbabbgbbbabababaabd	736937
cbbabgbbbbabababaabd	736937
cbbagbbbbbabababaabd	736937
cbbfabbbbbabababaabd	736937
cbgaabbbbbabababaabd	736937
cgbaabbbbbabababaabd	736937
cabbaabbbbbabababaabd	736937
cabbaabbbbbabababaagd	1105406
cabbaabbbbbabababafad	1105406
cabbaabbbbbabababebad	1105406
cabbaabbbbbababafbbad	1105406
cabbaabbbbbababebbbad	1105406
cabbaabbbbbabafbbbbad	1105406
cabbaabbbbbabebbbbbad	1105406
cabbaabbbbbafbbbbbbad	1105406
cabbaabbbbbebbbbbbbad	1105406
cabbaabbbbfbbbbbbbbad	1105406
cabbaabbbgabbbbbbbbad	1105406
cabbaabbgbabbbbbbbbad	1105406
cabbaabgbbabbbbbbbbad	1105406
cabbaagbbbabbbbbbbbad	1105406
cabbafabbbabbbbbbbbad	1105406
cabbebabbbabbbbbbbbad	1105406
cabfbbabbbabbbbbbbbad	1105406
cagabbabbbabbbbbbbbad	1105406
cfaabbabbbabbbbbbbbad	1105406
caaaabbabbbabbbbbbbbad	1105406
caaaabbabbbabbbbbbbbd	552703
caaaabbabbbabbbbbbbgd	829055
caaaabbabbbabbbbbbgbd	829055
caaaabbabbbabbbbbgbbd	829055
caaaabbabbbabbbbgbbbd	829055
caaaabbabbbabbbgbbbbd	829055
caaaabbabbbabbgbbbbbd	829055
caaaabbabbbabgbbbbbbd	829055
caaaabbabbbagbbbbbbbd	829055
caaaabbabbbfabbbbbbbd	829055
caaaabbabbgaabbbbbbbd	829055
caaaabbabgbaabbbbbbbd	829055
caaaabbagbbaabbbbbbbd	829055
caaaabbfabbaabbbbbbbd	829055
caaaabgaabbaabbbbbbbd	829055
caaaagbaabbaabbbbbbbd	829055
caaafabaabbaabbbbbbbd	829055
caaebabaabbaabbbbbbbd	829055
caeababaabbaabbbbbbbd	829055
ceaababaabbaabbbbbbbd	829055
cbaababaabbaabbbbbbbd	829055
cbaababaabbaabbbbbbgd	1243583
cbaababaabbaabbbbbgbd	1243583
cbaababaabbaabbbbgbbd	1243583
cbaababaabbaabbbgbbbd	1243583
cbaababaabbaabbgbbbbd	1243583
cbaababaabbaabgbbbbbd	1243583
cbaababaabbaagbbbbbbd	1243583
cbaababaabbafabbbbbbd	1243583
cbaababaabbebabbbbbbd	1243583
cbaababaabfbbabbbbbbd	1243583
cbaababaagabbabbbbbbd	1243583
cbaababafaabbabbbbbbd	1243583
cbaababebaabbabbbbbbd	1243583
cbaabafbbaabbabbbbbbd	1243583
cbaabebbbaabbabbbbbbd	1243583
cbaafbbbbaabbabbbbbbd	1243583
cbaebbbbbaabbabbbbbbd	1243583
cbeabbbbbaabbabbbbbbd	1243583
cfbabbbbbaabbabbbbbbd	1243583
caababbbbbaabbabbbbbbd	1243583
caababbbbbaabbabbbbbgd	1865375
caababbbbbaabbabbbbgbd	1865375
caababbbbbaabbabbbgbbd	1865375
caababbbbbaabbabbgbbbd	1865375
caababbbbbaabbabgbbbbd	1865375
caababbbbbaabbagbbbbbd	1865375
caababbbbbaabbfabbbbbd	1865375
caababbbbbaabgaabbbbbd	1865375
caababbbbbaagbaabbbbbd	1865375
caababbbbbafabaabbbbbd	1865375
caababbbbbebabaabbbbbd	1865375
caababbbbfbbabaabbbbbd	1865375
caababbbgabbabaabbbbbd	1865375
caababbgbabbabaabbbbbd	1865375
caababgbbabbabaabbbbbd	1865375
caabagbbbabbabaabbbbbd	1865375
caabfabbbabbabaabbbbbd	1865375
caagaabbbabbabaabbbbbd	1865375
cafaaabbbabbabaabbbbbd	1865375
cebaaabbbabbabaabbbbbd	1865375
cbbaaabbbabbabaabbbbbd	1865375
cbbaaabbbabbabaabbbbgd	2798063
cbbaaabbbabbabaabbbgbd	2798063
cbbaaabbbabbabaabbgbbd	2798063
cbbaaabbbabbabaabgbbbd	2798063
cbbaaabbbabbabaagbbbbd	2798063
cbbaaabbbabbabafabbbbd	2798063
cbbaaabbbabbabebabbbbd	2798063
cbbaaabbbabbafbbabbbbd	2798063
cbbaaabbbabbebbbabbbbd	2798063
cbbaaabbbabfbbbbabbbbd	2798063
cbbaaabbbagabbbbabbbbd	2798063
cbbaaabbbfaabbbbabbbbd	2798063
cbbaaabbgaaabbbbabbbbd	2798063
cbbaaabgbaaabbbbabbbbd	2798063
cbbaaagbbaaabbbbabbbbd	2798063
cbbaafabbaaabbbbabbbbd	2798063
cbbaebabbaaabbbbabbbbd	2798063
cbbeababbaaabbbbabbbbd	2798063
cbfbababbaaabbbbabbbbd	2798063
cgabababbaaabbbbabbbbd	2798063
cababababbaaabbbbabbbbd	2798063
cababababbaaabbbbabbbgd	4197095
cababababbaaabbbbabbgbd	4197095
cababababbaaabbbbabgbbd	4197095
cababababbaaabbbbagbbbd	4197095
cababababbaaabbbbfabbbd	4197095
cababababbaaabbbgaabbbd	4197095
cababababbaaabbgbaabbbd	4197095
cababababbaaabgbbaabbbd	4197095
cababababbaaagbbbaabbbd	4197095
cababababbaafabbbaabbbd	4197095
cababababbaebabbbaabbbd	4197095
cababababbeababbbaabbbd	4197095
cababababfbababbbaabbbd	4197095
cabababagabababbbaabbbd	4197095
cabababfaabababbbaabbbd	4197095
cababagaaabababbbaabbbd	4197095
cababfaaaabababbbaabbbd	4197095
cabagaaaaabababbbaabbbd	4197095
cabfaaaaaabababbbaabbbd	4197095
cagaaaaaaabababbbaabbbd	4197095
cfaaaaaaaabababbbaabbbd	4197095
caaaaaaaaaabababbbaabbbd	4197095
caaaaaaaaaabababbbaabbgd	6295643
caaaaaaaaaabababbbaabgbd	6295643
caaaaaaaaaabababbbaagbbd	6295643
caaaaaaaaaabababbbafabbd	6295643
caaaaaaaaaabababbbebabbd	6295643
caaaaaaaaaabababbfbbabbd	6295643
caaaaaaaaaabababgabbabbd	6295643
caaaaaaaaaababagbabbabbd	6295643
caaaaaaaaaababfababbabbd	6295643
caaaaaaaaaabagaababbabbd	6295643
caaaaaaaaaabfaaababbabbd	6295643
caaaaaaaaaagaaaababbabbd	6295643
caaaaaaaaafaaaaababbabbd	6295643
caaaaaaaaebaaaaababbabbd	6295643
caaaaaaaeabaaaaababbabbd	6295643
caaaaaaeaabaaaaababbabbd	6295643
caaaaaeaaabaaaaababbabbd	6295643
caaaaeaaaabaaaaababbabbd	6295643
caaaeaaaaabaaaaababbabbd	6295643
caaeaaaaaabaaaaababbabbd	6295643
caeaaaaaaabaaaaababbabbd	6295643
ceaaaaaaaabaaaaababbabbd	6295643
cbaaaaaaaabaaaaababbabbd	6295643
cbaaaaaaaabaaaaababbabgd	9443465
cbaaaaaaaabaaaaababbagbd	9443465
cbaaaaaaaabaaaaababbfabd	9443465
cbaaaaaaaabaaaaababgaabd	9443465
cbaaaaaaaabaaaaabagbaabd	9443465
cbaaaaaaaabaaaaabfabaabd	9443465
cbaaaaaaaabaaaaagaabaabd	9443465
