"Input number 1671382 with intial rewrite term cbaabbaaaaaaabbababbad
Generated final number 41777693 with final rewrite term caabbbbbababbbbabaaaabbbabd
Number of steps: 850  Number of array doubles: 0"
Term	Number
caabaaabaabbbbbbbbfabd	1784825
caabaaabaabbbbbbbgaabd	1784825
caabaaabaabbbbbbgbaabd	1784825
caabaaabaabbbbbgbbaabd	1784825
caabaaabaabbbbgbbbaabd	1784825
caabaaabaabbbgbbbbaabd	1784825
caabaaabaabbgbbbbbaabd	1784825
caabaaabaabgbbbbbbaabd	1784825
caabaaabaagbbbbbbbaabd	1784825
caabaaabafabbbbbbbaabd	1784825
caabaaabebabbbbbbbaabd	1784825
caabaaafbbabbbbbbbaabd	1784825
caabaaebbbabbbbbbbaabd	1784825
caabaeabbbabbbbbbbaabd	1784825
caabeaabbbabbbbbbbaabd	1784825
caafbaabbbabbbbbbbaabd	1784825
caebbaabbbabbbbbbbaabd	1784825
ceabbaabbbabbbbbbbaabd	1784825
cbabbaabbbabbbbbbbaabd	1784825
cbabbaabbbabbbbbbbaagd	2677238
cbabbaabbbabbbbbbbafad	2677238
cbabbaabbbabbbbbbbebad	2677238
cbabbaabbbabbbbbbfbbad	2677238
cbabbaabbbabbbbbgabbad	2677238
cbabbaabbbabbbbgbabbad	2677238
cbabbaabbbabbbgbbabbad	2677238
cbabbaabbbabbgbbbabbad	2677238
cbabbaabbbabgbbbbabbad	2677238
cbabbaabbbagbbbbbabbad	2677238
cbabbaabbbfabbbbbabbad	2677238
cbabbaabbgaabbbbbabbad	2677238
cbabbaabgbaabbbbbabbad	2677238
cbabbaagbbaabbbbbabbad	2677238
cbabbafabbaabbbbbabbad	2677238
cbabbebabbaabbbbbabbad	2677238
cbabfbbabbaabbbbbabbad	2677238
cbagabbabbaabbbbbabbad	2677238
cbfaabbabbaabbbbbabbad	2677238
cgaaabbabbaabbbbbabbad	2677238
cabaaabbabbaabbbbbabbad	2677238
cabaaabbabbaabbbbbabbd	1338619
cabaaabbabbaabbbbbabgd	2007929
cabaaabbabbaabbbbbagbd	2007929
cabaaabbabbaabbbbbfabd	2007929
cabaaabbabbaabbbbgaabd	2007929
cabaaabbabbaabbbgbaabd	2007929
cabaaabbabbaabbgbbaabd	2007929
cabaaabbabbaabgbbbaabd	2007929
cabaaabbabbaagbbbbaabd	2007929
cabaaabbabbafabbbbaabd	2007929
cabaaabbabbebabbbbaabd	2007929
cabaaabbabfbbabbbbaabd	2007929
cabaaabbagabbabbbbaabd	2007929
cabaaabbfaabbabbbbaabd	2007929
cabaaabgaaabbabbbbaabd	2007929
cabaaagbaaabbabbbbaabd	2007929
cabaafabaaabbabbbbaabd	2007929
cabaebabaaabbabbbbaabd	2007929
cabeababaaabbabbbbaabd	2007929
cafbababaaabbabbbbaabd	2007929
cebbababaaabbabbbbaabd	2007929
cbbbababaaabbabbbbaabd	2007929
cbbbababaaabbabbbbaagd	3011894
cbbbababaaabbabbbbafad	3011894
cbbbababaaabbabbbbebad	3011894
cbbbababaaabbabbbfbbad	3011894
cbbbababaaabbabbgabbad	3011894
cbbbababaaabbabgbabbad	3011894
cbbbababaaabbagbbabbad	3011894
cbbbababaaabbfabbabbad	3011894
cbbbababaaabgaabbabbad	3011894
cbbbababaaagbaabbabbad	3011894
cbbbababaafabaabbabbad	3011894
cbbbababaebabaabbabbad	3011894
cbbbababeababaabbabbad	3011894
cbbbabafbababaabbabbad	3011894
cbbbabebbababaabbabbad	3011894
cbbbafbbbababaabbabbad	3011894
cbbbebbbbababaabbabbad	3011894
cbbfbbbbbababaabbabbad	3011894
cbgabbbbbababaabbabbad	3011894
cgbabbbbbababaabbabbad	3011894
cabbabbbbbababaabbabbad	3011894
cabbabbbbbababaabbabbd	1505947
cabbabbbbbababaabbabgd	2258921
cabbabbbbbababaabbagbd	2258921
cabbabbbbbababaabbfabd	2258921
cabbabbbbbababaabgaabd	2258921
cabbabbbbbababaagbaabd	2258921
cabbabbbbbababafabaabd	2258921
cabbabbbbbababebabaabd	2258921
cabbabbbbbabafbbabaabd	2258921
cabbabbbbbabebbbabaabd	2258921
cabbabbbbbafbbbbabaabd	2258921
cabbabbbbbebbbbbabaabd	2258921
cabbabbbbfbbbbbbabaabd	2258921
cabbabbbgabbbbbbabaabd	2258921
cabbabbgbabbbbbbabaabd	2258921
cabbabgbbabbbbbbabaabd	2258921
cabbagbbbabbbbbbabaabd	2258921
cabbfabbbabbbbbbabaabd	2258921
cabgaabbbabbbbbbabaabd	2258921
cagbaabbbabbbbbbabaabd	2258921
cfabaabbbabbbbbbabaabd	2258921
caaabaabbbabbbbbbabaabd	2258921
caaabaabbbabbbbbbabaagd	3388382
caaabaabbbabbbbbbabafad	3388382
caaabaabbbabbbbbbabebad	3388382
caaabaabbbabbbbbbafbbad	3388382
caaabaabbbabbbbbbebbbad	3388382
caaabaabbbabbbbbfbbbbad	3388382
caaabaabbbabbbbgabbbbad	3388382
caaabaabbbabbbgbabbbbad	3388382
caaabaabbbabbgbbabbbbad	3388382
caaabaabbbabgbbbabbbbad	3388382
caaabaabbbagbbbbabbbbad	3388382
caaabaabbbfabbbbabbbbad	3388382
caaabaabbgaabbbbabbbbad	3388382
caaabaabgbaabbbbabbbbad	3388382
caaabaagbbaabbbbabbbbad	3388382
caaabafabbaabbbbabbbbad	3388382
caaabebabbaabbbbabbbbad	3388382
caaafbbabbaabbbbabbbbad	3388382
caaebbbabbaabbbbabbbbad	3388382
caeabbbabbaabbbbabbbbad	3388382
ceaabbbabbaabbbbabbbbad	3388382
cbaabbbabbaabbbbabbbbad	3388382
cbaabbbabbaabbbbabbbbd	1694191
cbaabbbabbaabbbbabbbgd	2541287
cbaabbbabbaabbbbabbgbd	2541287
cbaabbbabbaabbbbabgbbd	2541287
cbaabbbabbaabbbbagbbbd	2541287
cbaabbbabbaabbbbfabbbd	2541287
cbaabbbabbaabbbgaabbbd	2541287
cbaabbbabbaabbgbaabbbd	2541287
cbaabbbabbaabgbbaabbbd	2541287
cbaabbbabbaagbbbaabbbd	2541287
cbaabbbabbafabbbaabbbd	2541287
cbaabbbabbebabbbaabbbd	2541287
cbaabbbabfbbabbbaabbbd	2541287
cbaabbbagabbabbbaabbbd	2541287
cbaabbbfaabbabbbaabbbd	2541287
cbaabbgaaabbabbbaabbbd	2541287
cbaabgbaaabbabbbaabbbd	2541287
cbaagbbaaabbabbbaabbbd	2541287
cbafabbaaabbabbbaabbbd	2541287
cbebabbaaabbabbbaabbbd	2541287
cfbbabbaaabbabbbaabbbd	2541287
caabbabbaaabbabbbaabbbd	2541287
caabbabbaaabbabbbaabbgd	3811931
caabbabbaaabbabbbaabgbd	3811931
caabbabbaaabbabbbaagbbd	3811931
caabbabbaaabbabbbafabbd	3811931
caabbabbaaabbabbbebabbd	3811931
caabbabbaaabbabbfbbabbd	3811931
caabbabbaaabbabgabbabbd	3811931
caabbabbaaabbagbabbabbd	3811931
caabbabbaaabbfababbabbd	3811931
caabbabbaaabgaababbabbd	3811931
caabbabbaaagbaababbabbd	3811931
caabbabbaafabaababbabbd	3811931
caabbabbaebabaababbabbd	3811931
caabbabbeababaababbabbd	3811931
caabbabfbababaababbabbd	3811931
caabbagabababaababbabbd	3811931
caabbfaabababaababbabbd	3811931
caabgaaabababaababbabbd	3811931
caagbaaabababaababbabbd	3811931
cafabaaabababaababbabbd	3811931
cebabaaabababaababbabbd	3811931
cbbabaaabababaababbabbd	3811931
cbbabaaabababaababbabgd	5717897
cbbabaaabababaababbagbd	5717897
cbbabaaabababaababbfabd	5717897
cbbabaaabababaababgaabd	5717897
cbbabaaabababaabagbaabd	5717897
cbbabaaabababaabfabaabd	5717897
cbbabaaabababaagaabaabd	5717897
cbbabaaabababafaaabaabd	5717897
cbbabaaabababebaaabaabd	5717897
cbbabaaababafbbaaabaabd	5717897
cbbabaaababebbbaaabaabd	5717897
cbbabaaabafbbbbaaabaabd	5717897
cbbabaaabebbbbbaaabaabd	5717897
cbbabaaafbbbbbbaaabaabd	5717897
cbbabaaebbbbbbbaaabaabd	5717897
cbbabaeabbbbbbbaaabaabd	5717897
cbbabeaabbbbbbbaaabaabd	5717897
cbbafbaabbbbbbbaaabaabd	5717897
cbbebbaabbbbbbbaaabaabd	5717897
cbfbbbaabbbbbbbaaabaabd	5717897
cgabbbaabbbbbbbaaabaabd	5717897
cababbbaabbbbbbbaaabaabd	5717897
cababbbaabbbbbbbaaabaagd	8576846
cababbbaabbbbbbbaaabafad	8576846
cababbbaabbbbbbbaaabebad	8576846
cababbbaabbbbbbbaaafbbad	8576846
cababbbaabbbbbbbaaebbbad	8576846
cababbbaabbbbbbbaeabbbad	8576846
cababbbaabbbbbbbeaabbbad	8576846
cababbbaabbbbbbfbaabbbad	8576846
cababbbaabbbbbgabaabbbad	8576846
cababbbaabbbbgbabaabbbad	8576846
cababbbaabbbgbbabaabbbad	8576846
cababbbaabbgbbbabaabbbad	8576846
cababbbaabgbbbbabaabbbad	8576846
cababbbaagbbbbbabaabbbad	8576846
cababbbafabbbbbabaabbbad	8576846
cababbbebabbbbbabaabbbad	8576846
cababbfbbabbbbbabaabbbad	8576846
cababgabbabbbbbabaabbbad	8576846
cabagbabbabbbbbabaabbbad	8576846
cabfababbabbbbbabaabbbad	8576846
cagaababbabbbbbabaabbbad	8576846
cfaaababbabbbbbabaabbbad	8576846
caaaaababbabbbbbabaabbbad	8576846
caaaaababbabbbbbabaabbbd	4288423
caaaaababbabbbbbabaabbgd	6432635
caaaaababbabbbbbabaabgbd	6432635
caaaaababbabbbbbabaagbbd	6432635
caaaaababbabbbbbabafabbd	6432635
caaaaababbabbbbbabebabbd	6432635
caaaaababbabbbbbafbbabbd	6432635
caaaaababbabbbbbebbbabbd	6432635
caaaaababbabbbbfbbbbabbd	6432635
caaaaababbabbbgabbbbabbd	6432635
caaaaababbabbgbabbbbabbd	6432635
caaaaababbabgbbabbbbabbd	6432635
caaaaababbagbbbabbbbabbd	6432635
caaaaababbfabbbabbbbabbd	6432635
caaaaababgaabbbabbbbabbd	6432635
caaaaabagbaabbbabbbbabbd	6432635
caaaaabfabaabbbabbbbabbd	6432635
caaaaagaabaabbbabbbbabbd	6432635
caaaafaaabaabbbabbbbabbd	6432635
caaaebaaabaabbbabbbbabbd	6432635
caaeabaaabaabbbabbbbabbd	6432635
caeaabaaabaabbbabbbbabbd	6432635
ceaaabaaabaabbbabbbbabbd	6432635
cbaaabaaabaabbbabbbbabbd	6432635
cbaaabaaabaabbbabbbbabgd	9648953
cbaaabaaabaabbbabbbbagbd	9648953
cbaaabaaabaabbbabbbbfabd	9648953
cbaaabaaabaabbbabbbgaabd	9648953
cbaaabaaabaabbbabbgbaabd	9648953
cbaaabaaabaabbbabgbbaabd	9648953
cbaaabaaabaabbbagbbbaabd	9648953
cbaaabaaabaabbbfabbbaabd	9648953
cbaaabaaabaabbgaabbbaabd	9648953
cbaaabaaabaabgbaabbbaabd	9648953
cbaaabaaabaagbbaabbbaabd	9648953
cbaaabaaabafabbaabbbaabd	9648953
cbaaabaaabebabbaabbbaabd	9648953
cbaaabaaafbbabbaabbbaabd	9648953
cbaaabaaebbbabbaabbbaabd	9648953
cbaaabaeabbbabbaabbbaabd	9648953
cbaaabeaabbbabbaabbbaabd	9648953
cbaaafbaabbbabbaabbbaabd	9648953
cbaaebbaabbbabbaabbbaabd	9648953
cbaeabbaabbbabbaabbbaabd	9648953
cbeaabbaabbbabbaabbbaabd	9648953
cfbaabbaabbbabbaabbbaabd	9648953
caabaabbaabbbabbaabbbaabd	9648953
caabaabbaabbbabbaabbbaagd	14473430
caabaabbaabbbabbaabbbafad	14473430
caabaabbaabbbabbaabbbebad	14473430
caabaabbaabbbabbaabbfbbad	14473430
caabaabbaabbbabbaabgabbad	14473430
caabaabbaabbbabbaagbabbad	14473430
caabaabbaabbbabbafababbad	14473430
caabaabbaabbbabbebababbad	14473430
caabaabbaabbbabfbbababbad	14473430
caabaabbaabbbagabbababbad	14473430
caabaabbaabbbfaabbababbad	14473430
caabaabbaabbgaaabbababbad	14473430
caabaabbaabgbaaabbababbad	14473430
caabaabbaagbbaaabbababbad	14473430
caabaabbafabbaaabbababbad	14473430
caabaabbebabbaaabbababbad	14473430
caabaabfbbabbaaabbababbad	14473430
caabaagabbabbaaabbababbad	14473430
caabafaabbabbaaabbababbad	14473430
caabebaabbabbaaabbababbad	14473430
caafbbaabbabbaaabbababbad	14473430
caebbbaabbabbaaabbababbad	14473430
ceabbbaabbabbaaabbababbad	14473430
cbabbbaabbabbaaabbababbad	14473430
cbabbbaabbabbaaabbababbd	7236715
cbabbbaabbabbaaabbababgd	10855073
cbabbbaabbabbaaabbabagbd	10855073
cbabbbaabbabbaaabbabfabd	10855073
cbabbbaabbabbaaabbagaabd	10855073
cbabbbaabbabbaaabbfaaabd	10855073
cbabbbaabbabbaaabgaaaabd	10855073
cbabbbaabbabbaaagbaaaabd	10855073
cbabbbaabbabbaafabaaaabd	10855073
cbabbbaabbabbaebabaaaabd	10855073
cbabbbaabbabbeababaaaabd	10855073
cbabbbaabbabfbababaaaabd	10855073
cbabbbaabbagabababaaaabd	10855073
cbabbbaabbfaabababaaaabd	10855073
cbabbbaabgaaabababaaaabd	10855073
cbabbbaagbaaabababaaaabd	10855073
cbabbbafabaaabababaaaabd	10855073
cbabbbebabaaabababaaaabd	10855073
cbabbfbbabaaabababaaaabd	10855073
cbabgabbabaaabababaaaabd	10855073
cbagbabbabaaabababaaaabd	10855073
cbfababbabaaabababaaaabd	10855073
cgaababbabaaabababaaaabd	10855073
cabaababbabaaabababaaaabd	10855073
cabaababbabaaabababaaaagd	16282610
cabaababbabaaabababaaafad	16282610
cabaababbabaaabababaaebad	16282610
cabaababbabaaabababaeabad	16282610
cabaababbabaaabababeaabad	16282610
cabaababbabaaababafbaabad	16282610
cabaababbabaaababebbaabad	16282610
cabaababbabaaabafbbbaabad	16282610
cabaababbabaaabebbbbaabad	16282610
cabaababbabaaafbbbbbaabad	16282610
cabaababbabaaebbbbbbaabad	16282610
cabaababbabaeabbbbbbaabad	16282610
cabaababbabeaabbbbbbaabad	16282610
cabaababbafbaabbbbbbaabad	16282610
cabaababbebbaabbbbbbaabad	16282610
cabaababfbbbaabbbbbbaabad	16282610
cabaabagabbbaabbbbbbaabad	16282610
cabaabfaabbbaabbbbbbaabad	16282610
cabaagaaabbbaabbbbbbaabad	16282610
cabafaaaabbbaabbbbbbaabad	16282610
cabebaaaabbbaabbbbbbaabad	16282610
cafbbaaaabbbaabbbbbbaabad	16282610
cebbbaaaabbbaabbbbbbaabad	16282610
cbbbbaaaabbbaabbbbbbaabad	16282610
cbbbbaaaabbbaabbbbbbaabd	8141305
cbbbbaaaabbbaabbbbbbaagd	12211958
cbbbbaaaabbbaabbbbbbafad	12211958
cbbbbaaaabbbaabbbbbbebad	12211958
cbbbbaaaabbbaabbbbbfbbad	12211958
cbbbbaaaabbbaabbbbgabbad	12211958
cbbbbaaaabbbaabbbgbabbad	12211958
cbbbbaaaabbbaabbgbbabbad	12211958
cbbbbaaaabbbaabgbbbabbad	12211958
cbbbbaaaabbbaagbbbbabbad	12211958
cbbbbaaaabbbafabbbbabbad	12211958
cbbbbaaaabbbebabbbbabbad	12211958
cbbbbaaaabbfbbabbbbabbad	12211958
cbbbbaaaabgabbabbbbabbad	12211958
cbbbbaaaagbabbabbbbabbad	12211958
cbbbbaaafababbabbbbabbad	12211958
cbbbbaaebababbabbbbabbad	12211958
cbbbbaeabababbabbbbabbad	12211958
cbbbbeaabababbabbbbabbad	12211958
cbbbfbaabababbabbbbabbad	12211958
cbbgabaabababbabbbbabbad	12211958
cbgbabaabababbabbbbabbad	12211958
cgbbabaabababbabbbbabbad	12211958
cabbbabaabababbabbbbabbad	12211958
cabbbabaabababbabbbbabbd	6105979
cabbbabaabababbabbbbabgd	9158969
cabbbabaabababbabbbbagbd	9158969
cabbbabaabababbabbbbfabd	9158969
cabbbabaabababbabbbgaabd	9158969
cabbbabaabababbabbgbaabd	9158969
cabbbabaabababbabgbbaabd	9158969
cabbbabaabababbagbbbaabd	9158969
cabbbabaabababbfabbbaabd	9158969
cabbbabaabababgaabbbaabd	9158969
cabbbabaababagbaabbbaabd	9158969
cabbbabaababfabaabbbaabd	9158969
cabbbabaabagaabaabbbaabd	9158969
cabbbabaabfaaabaabbbaabd	9158969
cabbbabaagaaaabaabbbaabd	9158969
cabbbabafaaaaabaabbbaabd	9158969
cabbbabebaaaaabaabbbaabd	9158969
cabbbafbbaaaaabaabbbaabd	9158969
cabbbebbbaaaaabaabbbaabd	9158969
cabbfbbbbaaaaabaabbbaabd	9158969
cabgabbbbaaaaabaabbbaabd	9158969
cagbabbbbaaaaabaabbbaabd	9158969
cfababbbbaaaaabaabbbaabd	9158969
caaababbbbaaaaabaabbbaabd	9158969
caaababbbbaaaaabaabbbaagd	13738454
caaababbbbaaaaabaabbbafad	13738454
caaababbbbaaaaabaabbbebad	13738454
caaababbbbaaaaabaabbfbbad	13738454
caaababbbbaaaaabaabgabbad	13738454
caaababbbbaaaaabaagbabbad	13738454
caaababbbbaaaaabafababbad	13738454
caaababbbbaaaaabebababbad	13738454
caaababbbbaaaaafbbababbad	13738454
caaababbbbaaaaebbbababbad	13738454
caaababbbbaaaeabbbababbad	13738454
caaababbbbaaeaabbbababbad	13738454
caaababbbbaeaaabbbababbad	13738454
caaababbbbeaaaabbbababbad	13738454
caaababbbfbaaaabbbababbad	13738454
caaababbgabaaaabbbababbad	13738454
caaababgbabaaaabbbababbad	13738454
caaabagbbabaaaabbbababbad	13738454
caaabfabbabaaaabbbababbad	13738454
caaagaabbabaaaabbbababbad	13738454
caafaaabbabaaaabbbababbad	13738454
caebaaabbabaaaabbbababbad	13738454
ceabaaabbabaaaabbbababbad	13738454
cbabaaabbabaaaabbbababbad	13738454
cbabaaabbabaaaabbbababbd	6869227
cbabaaabbabaaaabbbababgd	10303841
cbabaaabbabaaaabbbabagbd	10303841
cbabaaabbabaaaabbbabfabd	10303841
cbabaaabbabaaaabbbagaabd	10303841
cbabaaabbabaaaabbbfaaabd	10303841
cbabaaabbabaaaabbgaaaabd	10303841
cbabaaabbabaaaabgbaaaabd	10303841
cbabaaabbabaaaagbbaaaabd	10303841
cbabaaabbabaaafabbaaaabd	10303841
cbabaaabbabaaebabbaaaabd	10303841
cbabaaabbabaeababbaaaabd	10303841
cbabaaabbabeaababbaaaabd	10303841
cbabaaabbafbaababbaaaabd	10303841
cbabaaabbebbaababbaaaabd	10303841
cbabaaabfbbbaababbaaaabd	10303841
cbabaaagabbbaababbaaaabd	10303841
cbabaafaabbbaababbaaaabd	10303841
cbabaebaabbbaababbaaaabd	10303841
cbabeabaabbbaababbaaaabd	10303841
cbafbabaabbbaababbaaaabd	10303841
cbebbabaabbbaababbaaaabd	10303841
cfbbbabaabbbaababbaaaabd	10303841
caabbbabaabbbaababbaaaabd	10303841
caabbbabaabbbaababbaaaagd	15455762
caabbbabaabbbaababbaaafad	15455762
caabbbabaabbbaababbaaebad	15455762
caabbbabaabbbaababbaeabad	15455762
caabbbabaabbbaababbeaabad	15455762
caabbbabaabbbaababfbaabad	15455762
caabbbabaabbbaabagabaabad	15455762
caabbbabaabbbaabfaabaabad	15455762
caabbbabaabbbaagaaabaabad	15455762
caabbbabaabbbafaaaabaabad	15455762
caabbbabaabbbebaaaabaabad	15455762
caabbbabaabbfbbaaaabaabad	15455762
caabbbabaabgabbaaaabaabad	15455762
caabbbabaagbabbaaaabaabad	15455762
caabbbabafababbaaaabaabad	15455762
caabbbabebababbaaaabaabad	15455762
caabbbafbbababbaaaabaabad	15455762
caabbbebbbababbaaaabaabad	15455762
caabbfbbbbababbaaaabaabad	15455762
caabgabbbbababbaaaabaabad	15455762
caagbabbbbababbaaaabaabad	15455762
cafababbbbababbaaaabaabad	15455762
cebababbbbababbaaaabaabad	15455762
cbbababbbbababbaaaabaabad	15455762
cbbababbbbababbaaaabaabd	7727881
cbbababbbbababbaaaabaagd	11591822
cbbababbbbababbaaaabafad	11591822
cbbababbbbababbaaaabebad	11591822
cbbababbbbababbaaaafbbad	11591822
cbbababbbbababbaaaebbbad	11591822
cbbababbbbababbaaeabbbad	11591822
cbbababbbbababbaeaabbbad	11591822
cbbababbbbababbeaaabbbad	11591822
cbbababbbbababfbaaabbbad	11591822
cbbababbbbabagabaaabbbad	11591822
cbbababbbbabfaabaaabbbad	11591822
cbbababbbbagaaabaaabbbad	11591822
cbbababbbbfaaaabaaabbbad	11591822
cbbababbbgaaaaabaaabbbad	11591822
cbbababbgbaaaaabaaabbbad	11591822
cbbababgbbaaaaabaaabbbad	11591822
cbbabagbbbaaaaabaaabbbad	11591822
cbbabfabbbaaaaabaaabbbad	11591822
cbbagaabbbaaaaabaaabbbad	11591822
cbbfaaabbbaaaaabaaabbbad	11591822
cbgaaaabbbaaaaabaaabbbad	11591822
cgbaaaabbbaaaaabaaabbbad	11591822
cabbaaaabbbaaaaabaaabbbad	11591822
cabbaaaabbbaaaaabaaabbbd	5795911
cabbaaaabbbaaaaabaaabbgd	8693867
cabbaaaabbbaaaaabaaabgbd	8693867
cabbaaaabbbaaaaabaaagbbd	8693867
cabbaaaabbbaaaaabaafabbd	8693867
cabbaaaabbbaaaaabaebabbd	8693867
cabbaaaabbbaaaaabeababbd	8693867
cabbaaaabbbaaaaafbababbd	8693867
cabbaaaabbbaaaaebbababbd	8693867
cabbaaaabbbaaaeabbababbd	8693867
cabbaaaabbbaaeaabbababbd	8693867
cabbaaaabbbaeaaabbababbd	8693867
cabbaaaabbbeaaaabbababbd	8693867
cabbaaaabbfbaaaabbababbd	8693867
cabbaaaabgabaaaabbababbd	8693867
cabbaaaagbabaaaabbababbd	8693867
cabbaaafababaaaabbababbd	8693867
cabbaaebababaaaabbababbd	8693867
cabbaeabababaaaabbababbd	8693867
cabbeaabababaaaabbababbd	8693867
cabfbaabababaaaabbababbd	8693867
cagabaabababaaaabbababbd	8693867
cfaabaabababaaaabbababbd	8693867
caaaabaabababaaaabbababbd	8693867
caaaabaabababaaaabbababgd	13040801
caaaabaabababaaaabbabagbd	13040801
caaaabaabababaaaabbabfabd	13040801
caaaabaabababaaaabbagaabd	13040801
caaaabaabababaaaabbfaaabd	13040801
caaaabaabababaaaabgaaaabd	13040801
caaaabaabababaaaagbaaaabd	13040801
caaaabaabababaaafabaaaabd	13040801
