"Input number 2751484 with intial rewrite term cabaabbbbbbabbbbbbbbaad
Generated final number 6692535845 with final rewrite term cbaaabbbabbbaabbbbbbbbbbaaabaababd
Number of steps: 1403  Number of array doubles: 0"
Term	Number
cbbbbbbbabagaabbbabbbbbbad	50202494
cbbbbbbbabfaaabbbabbbbbbad	50202494
cbbbbbbbagaaaabbbabbbbbbad	50202494
cbbbbbbbfaaaaabbbabbbbbbad	50202494
cbbbbbbgaaaaaabbbabbbbbbad	50202494
cbbbbbgbaaaaaabbbabbbbbbad	50202494
cbbbbgbbaaaaaabbbabbbbbbad	50202494
cbbbgbbbaaaaaabbbabbbbbbad	50202494
cbbgbbbbaaaaaabbbabbbbbbad	50202494
cbgbbbbbaaaaaabbbabbbbbbad	50202494
cgbbbbbbaaaaaabbbabbbbbbad	50202494
cabbbbbbbaaaaaabbbabbbbbbad	50202494
cabbbbbbbaaaaaabbbabbbbbbd	25101247
cabbbbbbbaaaaaabbbabbbbbgd	37651871
cabbbbbbbaaaaaabbbabbbbgbd	37651871
cabbbbbbbaaaaaabbbabbbgbbd	37651871
cabbbbbbbaaaaaabbbabbgbbbd	37651871
cabbbbbbbaaaaaabbbabgbbbbd	37651871
cabbbbbbbaaaaaabbbagbbbbbd	37651871
cabbbbbbbaaaaaabbbfabbbbbd	37651871
cabbbbbbbaaaaaabbgaabbbbbd	37651871
cabbbbbbbaaaaaabgbaabbbbbd	37651871
cabbbbbbbaaaaaagbbaabbbbbd	37651871
cabbbbbbbaaaaafabbaabbbbbd	37651871
cabbbbbbbaaaaebabbaabbbbbd	37651871
cabbbbbbbaaaeababbaabbbbbd	37651871
cabbbbbbbaaeaababbaabbbbbd	37651871
cabbbbbbbaeaaababbaabbbbbd	37651871
cabbbbbbbeaaaababbaabbbbbd	37651871
cabbbbbbfbaaaababbaabbbbbd	37651871
cabbbbbgabaaaababbaabbbbbd	37651871
cabbbbgbabaaaababbaabbbbbd	37651871
cabbbgbbabaaaababbaabbbbbd	37651871
cabbgbbbabaaaababbaabbbbbd	37651871
cabgbbbbabaaaababbaabbbbbd	37651871
cagbbbbbabaaaababbaabbbbbd	37651871
cfabbbbbabaaaababbaabbbbbd	37651871
caaabbbbbabaaaababbaabbbbbd	37651871
caaabbbbbabaaaababbaabbbbgd	56477807
caaabbbbbabaaaababbaabbbgbd	56477807
caaabbbbbabaaaababbaabbgbbd	56477807
caaabbbbbabaaaababbaabgbbbd	56477807
caaabbbbbabaaaababbaagbbbbd	56477807
caaabbbbbabaaaababbafabbbbd	56477807
caaabbbbbabaaaababbebabbbbd	56477807
caaabbbbbabaaaababfbbabbbbd	56477807
caaabbbbbabaaaabagabbabbbbd	56477807
caaabbbbbabaaaabfaabbabbbbd	56477807
caaabbbbbabaaaagaaabbabbbbd	56477807
caaabbbbbabaaafaaaabbabbbbd	56477807
caaabbbbbabaaebaaaabbabbbbd	56477807
caaabbbbbabaeabaaaabbabbbbd	56477807
caaabbbbbabeaabaaaabbabbbbd	56477807
caaabbbbbafbaabaaaabbabbbbd	56477807
caaabbbbbebbaabaaaabbabbbbd	56477807
caaabbbbfbbbaabaaaabbabbbbd	56477807
caaabbbgabbbaabaaaabbabbbbd	56477807
caaabbgbabbbaabaaaabbabbbbd	56477807
caaabgbbabbbaabaaaabbabbbbd	56477807
caaagbbbabbbaabaaaabbabbbbd	56477807
caafabbbabbbaabaaaabbabbbbd	56477807
caebabbbabbbaabaaaabbabbbbd	56477807
ceababbbabbbaabaaaabbabbbbd	56477807
cbababbbabbbaabaaaabbabbbbd	56477807
cbababbbabbbaabaaaabbabbbgd	84716711
cbababbbabbbaabaaaabbabbgbd	84716711
cbababbbabbbaabaaaabbabgbbd	84716711
cbababbbabbbaabaaaabbagbbbd	84716711
cbababbbabbbaabaaaabbfabbbd	84716711
cbababbbabbbaabaaaabgaabbbd	84716711
cbababbbabbbaabaaaagbaabbbd	84716711
cbababbbabbbaabaaafabaabbbd	84716711
cbababbbabbbaabaaebabaabbbd	84716711
cbababbbabbbaabaeababaabbbd	84716711
cbababbbabbbaabeaababaabbbd	84716711
cbababbbabbbaafbaababaabbbd	84716711
cbababbbabbbaebbaababaabbbd	84716711
cbababbbabbbeabbaababaabbbd	84716711
cbababbbabbfbabbaababaabbbd	84716711
cbababbbabgababbaababaabbbd	84716711
cbababbbagbababbaababaabbbd	84716711
cbababbbfabababbaababaabbbd	84716711
cbababbgaabababbaababaabbbd	84716711
cbababgbaabababbaababaabbbd	84716711
cbabagbbaabababbaababaabbbd	84716711
cbabfabbaabababbaababaabbbd	84716711
cbagaabbaabababbaababaabbbd	84716711
cbfaaabbaabababbaababaabbbd	84716711
cgaaaabbaabababbaababaabbbd	84716711
cabaaaabbaabababbaababaabbbd	84716711
cabaaaabbaabababbaababaabbgd	127075067
cabaaaabbaabababbaababaabgbd	127075067
cabaaaabbaabababbaababaagbbd	127075067
cabaaaabbaabababbaababafabbd	127075067
cabaaaabbaabababbaababebabbd	127075067
cabaaaabbaabababbaabafbbabbd	127075067
cabaaaabbaabababbaabebbbabbd	127075067
cabaaaabbaabababbaafbbbbabbd	127075067
cabaaaabbaabababbaebbbbbabbd	127075067
cabaaaabbaabababbeabbbbbabbd	127075067
cabaaaabbaabababfbabbbbbabbd	127075067
cabaaaabbaababagababbbbbabbd	127075067
cabaaaabbaababfaababbbbbabbd	127075067
cabaaaabbaabagaaababbbbbabbd	127075067
cabaaaabbaabfaaaababbbbbabbd	127075067
cabaaaabbaagaaaaababbbbbabbd	127075067
cabaaaabbafaaaaaababbbbbabbd	127075067
cabaaaabbebaaaaaababbbbbabbd	127075067
cabaaaabfbbaaaaaababbbbbabbd	127075067
cabaaaagabbaaaaaababbbbbabbd	127075067
cabaaafaabbaaaaaababbbbbabbd	127075067
cabaaebaabbaaaaaababbbbbabbd	127075067
cabaeabaabbaaaaaababbbbbabbd	127075067
cabeaabaabbaaaaaababbbbbabbd	127075067
cafbaabaabbaaaaaababbbbbabbd	127075067
cebbaabaabbaaaaaababbbbbabbd	127075067
cbbbaabaabbaaaaaababbbbbabbd	127075067
cbbbaabaabbaaaaaababbbbbabgd	190612601
cbbbaabaabbaaaaaababbbbbagbd	190612601
cbbbaabaabbaaaaaababbbbbfabd	190612601
cbbbaabaabbaaaaaababbbbgaabd	190612601
cbbbaabaabbaaaaaababbbgbaabd	190612601
cbbbaabaabbaaaaaababbgbbaabd	190612601
cbbbaabaabbaaaaaababgbbbaabd	190612601
cbbbaabaabbaaaaaabagbbbbaabd	190612601
cbbbaabaabbaaaaaabfabbbbaabd	190612601
cbbbaabaabbaaaaaagaabbbbaabd	190612601
cbbbaabaabbaaaaafaaabbbbaabd	190612601
cbbbaabaabbaaaaebaaabbbbaabd	190612601
cbbbaabaabbaaaeabaaabbbbaabd	190612601
cbbbaabaabbaaeaabaaabbbbaabd	190612601
cbbbaabaabbaeaaabaaabbbbaabd	190612601
cbbbaabaabbeaaaabaaabbbbaabd	190612601
cbbbaabaabfbaaaabaaabbbbaabd	190612601
