"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
cbaaaaabaaaaeaaaabbbbbaaabbabbad	2428517942
cbaaaaabaaaeaaaaabbbbbaaabbabbad	2428517942
cbaaaaabaaeaaaaaabbbbbaaabbabbad	2428517942
cbaaaaabaeaaaaaaabbbbbaaabbabbad	2428517942
cbaaaaabeaaaaaaaabbbbbaaabbabbad	2428517942
cbaaaaafbaaaaaaaabbbbbaaabbabbad	2428517942
cbaaaaebbaaaaaaaabbbbbaaabbabbad	2428517942
cbaaaeabbaaaaaaaabbbbbaaabbabbad	2428517942
cbaaeaabbaaaaaaaabbbbbaaabbabbad	2428517942
cbaeaaabbaaaaaaaabbbbbaaabbabbad	2428517942
cbeaaaabbaaaaaaaabbbbbaaabbabbad	2428517942
cfbaaaabbaaaaaaaabbbbbaaabbabbad	2428517942
caabaaaabbaaaaaaaabbbbbaaabbabbad	2428517942
caabaaaabbaaaaaaaabbbbbaaabbabbd	1214258971
caabaaaabbaaaaaaaabbbbbaaabbabgd	1821388457
caabaaaabbaaaaaaaabbbbbaaabbagbd	1821388457
caabaaaabbaaaaaaaabbbbbaaabbfabd	1821388457
caabaaaabbaaaaaaaabbbbbaaabgaabd	1821388457
caabaaaabbaaaaaaaabbbbbaaagbaabd	1821388457
caabaaaabbaaaaaaaabbbbbaafabaabd	1821388457
caabaaaabbaaaaaaaabbbbbaebabaabd	1821388457
caabaaaabbaaaaaaaabbbbbeababaabd	1821388457
caabaaaabbaaaaaaaabbbbfbababaabd	1821388457
caabaaaabbaaaaaaaabbbgabababaabd	1821388457
caabaaaabbaaaaaaaabbgbabababaabd	1821388457
caabaaaabbaaaaaaaabgbbabababaabd	1821388457
caabaaaabbaaaaaaaagbbbabababaabd	1821388457
caabaaaabbaaaaaaafabbbabababaabd	1821388457
caabaaaabbaaaaaaebabbbabababaabd	1821388457
caabaaaabbaaaaaeababbbabababaabd	1821388457
caabaaaabbaaaaeaababbbabababaabd	1821388457
caabaaaabbaaaeaaababbbabababaabd	1821388457
caabaaaabbaaeaaaababbbabababaabd	1821388457
caabaaaabbaeaaaaababbbabababaabd	1821388457
caabaaaabbeaaaaaababbbabababaabd	1821388457
caabaaaabfbaaaaaababbbabababaabd	1821388457
caabaaaagabaaaaaababbbabababaabd	1821388457
caabaaafaabaaaaaababbbabababaabd	1821388457
caabaaebaabaaaaaababbbabababaabd	1821388457
caabaeabaabaaaaaababbbabababaabd	1821388457
caabeaabaabaaaaaababbbabababaabd	1821388457
caafbaabaabaaaaaababbbabababaabd	1821388457
caebbaabaabaaaaaababbbabababaabd	1821388457
ceabbaabaabaaaaaababbbabababaabd	1821388457
cbabbaabaabaaaaaababbbabababaabd	1821388457
cbabbaabaabaaaaaababbbabababaagd	2732082686
cbabbaabaabaaaaaababbbabababafad	2732082686
cbabbaabaabaaaaaababbbabababebad	2732082686
cbabbaabaabaaaaaababbbababafbbad	2732082686
cbabbaabaabaaaaaababbbababebbbad	2732082686
cbabbaabaabaaaaaababbbabafbbbbad	2732082686
cbabbaabaabaaaaaababbbabebbbbbad	2732082686
cbabbaabaabaaaaaababbbafbbbbbbad	2732082686
cbabbaabaabaaaaaababbbebbbbbbbad	2732082686
cbabbaabaabaaaaaababbfbbbbbbbbad	2732082686
cbabbaabaabaaaaaababgabbbbbbbbad	2732082686
cbabbaabaabaaaaaabagbabbbbbbbbad	2732082686
cbabbaabaabaaaaaabfababbbbbbbbad	2732082686
cbabbaabaabaaaaaagaababbbbbbbbad	2732082686
cbabbaabaabaaaaafaaababbbbbbbbad	2732082686
cbabbaabaabaaaaebaaababbbbbbbbad	2732082686
cbabbaabaabaaaeabaaababbbbbbbbad	2732082686
cbabbaabaabaaeaabaaababbbbbbbbad	2732082686
cbabbaabaabaeaaabaaababbbbbbbbad	2732082686
cbabbaabaabeaaaabaaababbbbbbbbad	2732082686
cbabbaabaafbaaaabaaababbbbbbbbad	2732082686
cbabbaabaebbaaaabaaababbbbbbbbad	2732082686
cbabbaabeabbaaaabaaababbbbbbbbad	2732082686
cbabbaafbabbaaaabaaababbbbbbbbad	2732082686
cbabbaebbabbaaaabaaababbbbbbbbad	2732082686
cbabbeabbabbaaaabaaababbbbbbbbad	2732082686
cbabfbabbabbaaaabaaababbbbbbbbad	2732082686
cbagababbabbaaaabaaababbbbbbbbad	2732082686
cbfaababbabbaaaabaaababbbbbbbbad	2732082686
cgaaababbabbaaaabaaababbbbbbbbad	2732082686
cabaaababbabbaaaabaaababbbbbbbbad	2732082686
cabaaababbabbaaaabaaababbbbbbbbd	1366041343
cabaaababbabbaaaabaaababbbbbbbgd	2049062015
cabaaababbabbaaaabaaababbbbbbgbd	2049062015
cabaaababbabbaaaabaaababbbbbgbbd	2049062015
cabaaababbabbaaaabaaababbbbgbbbd	2049062015
cabaaababbabbaaaabaaababbbgbbbbd	2049062015
cabaaababbabbaaaabaaababbgbbbbbd	2049062015
cabaaababbabbaaaabaaababgbbbbbbd	2049062015
cabaaababbabbaaaabaaabagbbbbbbbd	2049062015
cabaaababbabbaaaabaaabfabbbbbbbd	2049062015
cabaaababbabbaaaabaaagaabbbbbbbd	2049062015
cabaaababbabbaaaabaafaaabbbbbbbd	2049062015
cabaaababbabbaaaabaebaaabbbbbbbd	2049062015
cabaaababbabbaaaabeabaaabbbbbbbd	2049062015
cabaaababbabbaaaafbabaaabbbbbbbd	2049062015
cabaaababbabbaaaebbabaaabbbbbbbd	2049062015
cabaaababbabbaaeabbabaaabbbbbbbd	2049062015
cabaaababbabbaeaabbabaaabbbbbbbd	2049062015
cabaaababbabbeaaabbabaaabbbbbbbd	2049062015
cabaaababbabfbaaabbabaaabbbbbbbd	2049062015
cabaaababbagabaaabbabaaabbbbbbbd	2049062015
cabaaababbfaabaaabbabaaabbbbbbbd	2049062015
cabaaababgaaabaaabbabaaabbbbbbbd	2049062015
cabaaabagbaaabaaabbabaaabbbbbbbd	2049062015
cabaaabfabaaabaaabbabaaabbbbbbbd	2049062015
cabaaagaabaaabaaabbabaaabbbbbbbd	2049062015
