"Input number 10473136 with intial rewrite term caabbbbbbbaabbbababbaaaad
Generated final number 620527837 with final rewrite term caabaabbbbbbaabaaaaaaabbabbbabd
Number of steps: 855  Number of array doubles: 0"
Term	Number
cabababababaabgbaabbbd	2096999
cabababababaagbbaabbbd	2096999
cabababababafabbaabbbd	2096999
cabababababebabbaabbbd	2096999
cababababafbbabbaabbbd	2096999
cababababebbbabbaabbbd	2096999
cabababafbbbbabbaabbbd	2096999
cabababebbbbbabbaabbbd	2096999
cababafbbbbbbabbaabbbd	2096999
cababebbbbbbbabbaabbbd	2096999
cabafbbbbbbbbabbaabbbd	2096999
cabebbbbbbbbbabbaabbbd	2096999
cafbbbbbbbbbbabbaabbbd	2096999
cebbbbbbbbbbbabbaabbbd	2096999
cbbbbbbbbbbbbabbaabbbd	2096999
cbbbbbbbbbbbbabbaabbgd	3145499
cbbbbbbbbbbbbabbaabgbd	3145499
cbbbbbbbbbbbbabbaagbbd	3145499
cbbbbbbbbbbbbabbafabbd	3145499
cbbbbbbbbbbbbabbebabbd	3145499
cbbbbbbbbbbbbabfbbabbd	3145499
cbbbbbbbbbbbbagabbabbd	3145499
cbbbbbbbbbbbbfaabbabbd	3145499
cbbbbbbbbbbbgaaabbabbd	3145499
cbbbbbbbbbbgbaaabbabbd	3145499
cbbbbbbbbbgbbaaabbabbd	3145499
cbbbbbbbbgbbbaaabbabbd	3145499
cbbbbbbbgbbbbaaabbabbd	3145499
cbbbbbbgbbbbbaaabbabbd	3145499
cbbbbbgbbbbbbaaabbabbd	3145499
cbbbbgbbbbbbbaaabbabbd	3145499
cbbbgbbbbbbbbaaabbabbd	3145499
cbbgbbbbbbbbbaaabbabbd	3145499
cbgbbbbbbbbbbaaabbabbd	3145499
cgbbbbbbbbbbbaaabbabbd	3145499
cabbbbbbbbbbbbaaabbabbd	3145499
cabbbbbbbbbbbbaaabbabgd	4718249
cabbbbbbbbbbbbaaabbagbd	4718249
cabbbbbbbbbbbbaaabbfabd	4718249
cabbbbbbbbbbbbaaabgaabd	4718249
cabbbbbbbbbbbbaaagbaabd	4718249
cabbbbbbbbbbbbaafabaabd	4718249
cabbbbbbbbbbbbaebabaabd	4718249
cabbbbbbbbbbbbeababaabd	4718249
cabbbbbbbbbbbfbababaabd	4718249
cabbbbbbbbbbgabababaabd	4718249
cabbbbbbbbbgbabababaabd	4718249
cabbbbbbbbgbbabababaabd	4718249
cabbbbbbbgbbbabababaabd	4718249
cabbbbbbgbbbbabababaabd	4718249
cabbbbbgbbbbbabababaabd	4718249
cabbbbgbbbbbbabababaabd	4718249
cabbbgbbbbbbbabababaabd	4718249
cabbgbbbbbbbbabababaabd	4718249
cabgbbbbbbbbbabababaabd	4718249
cagbbbbbbbbbbabababaabd	4718249
cfabbbbbbbbbbabababaabd	4718249
caaabbbbbbbbbbabababaabd	4718249
caaabbbbbbbbbbabababaagd	7077374
caaabbbbbbbbbbabababafad	7077374
